TTD_ID,Target_ID,Target_Name,Highest_status,MOA(Mechanisms of Action),FHDI_Drug_ID
D04EGX,T67162,Dopamine D2 receptor (D2R),Approved,Agonist,D00575
D0V8QT,T21112,DNA replication (DNA repli),Approved,Intercalator,D00083
D0F5MT,T56915,Human immunodeficiency virus Protease (HIV PR),Approved,Inhibitor,D00692
D0T0LM,T28893,Muscarinic acetylcholine receptor M1 (CHRM1),Approved,Antagonist,D00302
D0U3EC,T82577,Angiotensin-converting enzyme (ACE),Approved,Inhibitor,D00937
D04KTZ,T34743,Bacterial Penicillin binding protein (Bact PBP),Approved,Binder,D00424
D04GKO,T82577,Angiotensin-converting enzyme (ACE),Approved,Inhibitor,D00581
D0V9BD,T11211,Androgen receptor (AR),Approved,Antagonist,D00058
D05VIX,T28692,Lipoprotein lipase (LPL),Approved,Activator,D00169
D05HXX,T89034,Plasminogen (PLG),Approved,Inhibitor,D00372
D0FD0H,T89034,Plasminogen (PLG),Approved,Inhibitor,D00007
D0FD0H,T45299,Tissue-type plasminogen activator (PLAT),Approved,Inhibitor,D00007
D02ZTJ,T56556,ATP-binding cassette transporter G2 (ABCG2),Approved,Inhibitor,D00348
D02ZTJ,T83145,Nuclear factor NF-kappa-B (NFKB),Approved,Activator,D00348
D0V0LB,T95479,Somatostatin (SST),Approved,Binder,D00422
D0C8EU,T86836,Human Deoxyribonucleic acid (hDNA),Approved,Modulator,D00356
D02FLB,T54644,Voltage-gated calcium channel alpha Cav3.2 (CACNA1H),Approved,Blocker,D00795
D02FLB,T74500,Voltage-gated potassium channel Kv4.3 (KCND3),Approved,Blocker,D00795
D0F9SG,T27812,Serotonin transporter (SERT),Withdrawn from market,Inhibitor,D00626
D03WPA,T22348,Bacterial DNA gyrase (Bact gyrase),Approved,Modulator,D00614
D03YVO,T72458,Melanocortin receptor 4 (MC4R),Approved,Agonist,D00934
D03YVO,T47768,Opioid receptor mu (MOP),Approved,Modulator,D00934
D0Z5EM,T34743,Bacterial Penicillin binding protein (Bact PBP),Approved,Binder,D00519
D0C0SK,T83386,Folate receptor alpha (FOLR1),Approved,Modulator,D00327
D0N1WU,T66665,Prostaglandin G/H synthase 2 (COX-2),Approved,Inhibitor,D00139
D0E9JM,T93878,Solute carrier family 12 member 1 (SLC12A1),Approved,Modulator,D00304
D0P0HB,T79068,Bacterial Fatty acid synthetase I (Bact inhA),Approved,Inhibitor,D00830
D0SN9T,T11211,Androgen receptor (AR),Approved,Antagonist,D00260
D05EPM,T39716,Voltage-gated sodium channel alpha Nav1.5 (SCN5A),Approved,Blocker,D00137
D0P8RS,T89515,Polypeptide deformylase (PDF),Approved,Inhibitor,D00960
D00HDU,T82577,Angiotensin-converting enzyme (ACE),Approved,Inhibitor,D00659
D08XFV,T75440,Translocator protein (TSPO),Approved,Modulator,D00161
D0Z4EI,T40016,Glucocorticoid receptor (NR3C1),Approved,Modulator,D00578
D0V4GY,T88240,Bacterial Dihydropteroate synthetase (Bact folP),Approved,Breaker,D01003
D00FGV,T77913,Histamine H1 receptor (H1R),Approved,Antagonist,D00075
D0V8HA,T78111,Nicotinic acetylcholine receptor (nAChR),Approved,Antagonist,D00221
D04FBR,T89360,Inosine-5'-monophosphate dehydrogenase 2 (IMPDH2),Approved,Inhibitor,D00874
D04FBR,T38529,Prostaglandin E2 receptor EP2 (PTGER2),Approved,Modulator,D00874
D0B4IF,T73726,Candida Cytochrome P450 51 (Candi ERG11),Approved,Inhibitor,D00786
D00NNC,T10147,Protein-tyrosine phosphatase sigma (R-PTP-sigma),Approved,Inhibitor,D00138
D0G3SH,T08378,Solute carrier family 23 member 2 (SLC23A2),Approved,Activator,D00529
D0G3SH,T37046,Biliverdin reductase A (BLVRA),Approved,Activator,D00529
D0F8CM,T28076,Fibroblast growth factor-4 (FGF4),Approved,Modulator,D00546
D0R3FP,T14342,Human immunodeficiency virus Reverse transcriptase (HIV RT),Approved,Modulator,D00967
D0I1SK,T71398,Guanylate cyclase (GC),Approved,Stimulator,D00443
D07JGT,T96144,DNA topoisomerase II (TOP2),Approved,Inhibitor,D00254
D0L2CI,T82841,Insulin (INS),Approved,Modulator,D01310
D02PAH,T84886,Solute carrier family 12 member 3 (SLC12A3),Approved,Blocker,D00050
D02PAH,T93878,Solute carrier family 12 member 1 (SLC12A1),Approved,Blocker,D00050
D07YDE,T59328,Epidermal growth factor receptor (EGFR),Approved,Activator,D00266
D07YDE,T57680,Soluble guanylate cyclase (GCS),Approved,Modulator,D00266
D0H0HJ,T83875,Monoamine oxidase type A (MAO-A),Approved,Inhibitor,D00498
D0H0HJ,T83011,Monoamine oxidase type B (MAO-B),Approved,Inhibitor,D00498
D0H0HJ,T62151,Monoamine oxidase (MAO),Approved,Inhibitor,D00498
D0S8TD,T51487,GABA(A) receptor alpha-1 (GABRA1),Approved,Antagonist,D00452
D0U4VT,T64795,Voltage-gated calcium channel alpha Cav3.1 (CACNA1G),Approved,Blocker,D00381
D0H6QU,T67162,Dopamine D2 receptor (D2R),Approved,Agonist,D00417
D01KQA,T60693,Opioid receptor kappa (OPRK1),Approved,Modulator,D00916
D09LDR,T75440,Translocator protein (TSPO),Approved,Agonist,D00277
D0T6RC,T23547,Opioid receptor (OPR),Phase 4,Modulator,D00897
D0O6SX,T77913,Histamine H1 receptor (H1R),Approved,Antagonist,D00185
D05BQK,T51487,GABA(A) receptor alpha-1 (GABRA1),Approved,Antagonist,D00068
D04WFD,T27812,Serotonin transporter (SERT),Approved,Modulator,D00268
D06IAR,T86679,Adenosine A2b receptor (ADORA2B),Approved,Modulator,D00609
D0UM7O,T69494,N-methyl-D-aspartate receptor (NMDAR),Approved,Antagonist,D00202
D0J2TN,T47768,Opioid receptor mu (MOP),Approved,Agonist,D00483
D0P9AC,T83011,Monoamine oxidase type B (MAO-B),Approved,Inhibitor,D00188
D0P9AC,T62151,Monoamine oxidase (MAO),Approved,Inhibitor,D00188
D06ZUK,T21945,Norepinephrine transporter (NET),Approved,Inhibitor,D00192
D0T5OX,T47768,Opioid receptor mu (MOP),Approved,Agonist,D00596
D06BEP,T75440,Translocator protein (TSPO),Approved,Modulator,D00085
D0Q1BT,T28893,Muscarinic acetylcholine receptor M1 (CHRM1),Approved,Antagonist,D00095
D0Q1BT,T09130,Muscarinic acetylcholine receptor (CHRM),Approved,Antagonist,D00095
D0Q1BT,T28893,Muscarinic acetylcholine receptor M1 (CHRM1),Approved,Antagonist,D01364
D0Q1BT,T09130,Muscarinic acetylcholine receptor (CHRM),Approved,Antagonist,D01364
D0D8DD,T23547,Opioid receptor (OPR),Approved,Antagonist,D00557
D00HZV,T21945,Norepinephrine transporter (NET),Approved,Inhibitor,D00383
D0J5YC,T39716,Voltage-gated sodium channel alpha Nav1.5 (SCN5A),Approved,Blocker,D00582
D07UWV,T94033,Coagulation factor IIa (F2),Approved,Inhibitor,D00661
D03KIA,T53585,HMG-CoA reductase (HMGCR),Approved,Inhibitor,D00773
D0Y4AW,T89515,Polypeptide deformylase (PDF),Approved,Inhibitor,D00227
D0Y4AW,T51487,GABA(A) receptor alpha-1 (GABRA1),Approved,Antagonist,D00227
D0Y4AW,T00895,Protein kinase C epsilon (PRKCE),Approved,Stimulator,D00227
D0L7LC,T68547,Histone deacetylase 1 (HDAC1),Approved,Inhibitor,D00928
D0Q4XQ,T64795,Voltage-gated calcium channel alpha Cav3.1 (CACNA1G),Approved,Blocker,D00136
D0U5RT,T51487,GABA(A) receptor alpha-1 (GABRA1),Approved,Antagonist,D00311
D0U5OE,T67162,Dopamine D2 receptor (D2R),Approved,Antagonist,D00214
D04RLY,T68536,Tubulin beta (TUBB),Approved,Binder,D00555
D0XE1C,T77365,Adenosine A2a receptor (ADORA2A),Approved,Modulator,D00746
D04BNP,T75440,Translocator protein (TSPO),Approved,Modulator,D00355
D0A4JK,T51487,GABA(A) receptor alpha-1 (GABRA1),Approved,Antagonist,D00067
D0E0OG,T75440,Translocator protein (TSPO),Approved,Modulator,D00212
D0E0LQ,T67162,Dopamine D2 receptor (D2R),Approved,Antagonist,D00819
D0ZB7K,T54128,Glutamate receptor AMPA (GRIA),Approved,Binder,D00395
D0P5SA,T07806,5-HT 1B receptor (HTR1B),Approved,Modulator,D00156
D09HVL,T94033,Coagulation factor IIa (F2),Approved,Inhibitor,D01112
D09HVL,T99616,Trypanosoma Trypanothione reductase (Trypano TPR),Approved,Inhibitor,D01112
D07BQE,T89034,Plasminogen (PLG),Approved,Activator,D01394
D02LVZ,T65197,Erythropoietin Receptor (EPOR),Approved,Agonist,D01396
D0E8UO,T17758,Urokinase-type plasminogen activator (PLAU),Approved,Modulator,D01397
D09QBG,T46937,P2Y purinoceptor 12 (P2RY12),Approved,Antagonist,D01029
D02HSB,T43189,Tubulin (TUB),Approved,Inhibitor,D01030
D0W2EK,T43189,Tubulin (TUB),Approved,Stablizer,D00973
D0H8FH,T49526,Voltage-gated potassium channel Kv7.1 (KCNQ1),Approved,Blocker,D00193
D03SRY,T26240,Estramustine binding protein (EMBP),Approved,Binder,D00750
D0Y4GO,T52227,Candida Thymidylate synthase (Candi TMP1),Approved,Inhibitor,D01343
D0G5CF,T34234,Vitamin D3 receptor (VDR),Approved,Antagonist,D00877
D0V0IX,T99954,Prostacyclin receptor (PTGIR),Approved,Agonist,D00888
D05ZTH,T38529,Prostaglandin E2 receptor EP2 (PTGER2),Approved,Agonist,D00915
D08WSY,T21334,Osteoclast differentiation factor (ODF),Approved,NA,D01423
D0C4AM,T36075,Glucagon-like peptide 1 receptor (GLP1R),Approved,Agonist,D01263
D01UTL,T21945,Norepinephrine transporter (NET),Approved,Inhibitor,D00113
D0AE3X,T01777,Adrenergic receptor alpha-2C (ADRA2C),Approved,Modulator,D00062
D0AE3X,T31424,Adrenergic receptor Alpha-2 (ADRA2),Approved,Agonist,D00062
D00KHM,T67162,Dopamine D2 receptor (D2R),Approved,Antagonist,D00493
D0X5SD,T65291,Fatty aldehyde dehydrogenase (ALDH3A2),Approved,Inhibitor,D00125
D0NE9T,T84631,Coagulation factor Xa (F10),Approved,Inhibitor,D00801
D01HTL,T43189,Tubulin (TUB),Approved,Inhibitor,D00920
D09TPF,T67162,Dopamine D2 receptor (D2R),Approved,Binder,D00506
D09QVV,T68536,Tubulin beta (TUBB),Approved,Modulator,D00414
D00JVR,T77913,Histamine H1 receptor (H1R),Approved,Antagonist,D00048
D0C2YB,T34743,Bacterial Penicillin binding protein (Bact PBP),Approved,Binder,D00562
D08CVQ,T09507,APOB messenger RNA (APOB mRNA),Approved,NA,D01267
D02NSF,T23547,Opioid receptor (OPR),Approved,Modulator,D00908
D0I2VK,T83875,Monoamine oxidase type A (MAO-A),Approved,Inhibitor,D00199
D02NJA,T65570,Alcohol dehydrogenase 1A (ADH1A),Approved,Modulator,D00165
D00TLN,T77913,Histamine H1 receptor (H1R),Approved,Antagonist,D00109
D0L5KU,T28722,GABA(A) receptor gamma-3 (GABRG3),Approved,Agonist,D01032
D0ES1Q,T75243,Serine/threonine-protein kinase mTOR (mTOR),Approved,Inhibitor,D00990
D0E4WR,T27265,Oxo-5-alpha-steroid 4-dehydrogenase (SRD5A),Approved,Inhibitor,D00047
D0W6DG,T23547,Opioid receptor (OPR),Approved,Antagonist,D00757
D0J4GO,T20401,Carbonic anhydrase II (CA-II),Approved,Inhibitor,D00117
D0J4GO,T13201,Carbonic anhydrase I (CA-I),Approved,Modulator,D00117
D0J4GO,T20401,Carbonic anhydrase II (CA-II),Approved,Inhibitor,D01366
D0J4GO,T13201,Carbonic anhydrase I (CA-I),Approved,Modulator,D01366
D03TIS,T88023,Lymphocyte activation antigen CD30 (TNFRSF8),Approved,Modulator,D01425
D0V3ZA,T67162,Dopamine D2 receptor (D2R),Approved,Agonist,D00468
D08SKH,T06455,Cytochrome P450 2A6 (CYP2A6),Approved,Binder,D00234
D0Y0ER,T67162,Dopamine D2 receptor (D2R),Approved,Antagonist,D00361
D0Y5UG,T21945,Norepinephrine transporter (NET),Approved,Inhibitor,D00035
D0Y5UG,T27812,Serotonin transporter (SERT),Approved,Inhibitor,D00035
D00KEP,T08165,Elegans Endoprotease bli-4 (Elegans bli-4),Investigative,Inhibitor,D00421
D0ND2J,T79961,Muscarinic acetylcholine receptor M5 (CHRM5),Approved,Antagonist,D00150
D0TD2G,T42000,Interleukin-1 beta (IL1B),Approved,NA,D01422
D08GYO,T86836,Human Deoxyribonucleic acid (hDNA),Approved,NA,D00315
D0G6ZG,T17758,Urokinase-type plasminogen activator (PLAU),Phase 3,Activator,D00713
D05MFG,T82577,Angiotensin-converting enzyme (ACE),Approved,Inhibitor,D00918
D05VIL,T23547,Opioid receptor (OPR),Approved,Antagonist,D00905
D05VIL,T23547,Opioid receptor (OPR),Approved,Antagonist,D01383
D0B8WN,T30985,Histamine H2 receptor (H2R),Approved,Antagonist,D00836
D0D1SG,T40016,Glucocorticoid receptor (NR3C1),Approved,Modulator,D00399
D0X9RG,T58992,Opioid receptor delta (OPRD1),Approved,Agonist,D00933
D06TNG,T84886,Solute carrier family 12 member 3 (SLC12A3),Approved,Blocker,D00303
D0KR5B,T40016,Glucocorticoid receptor (NR3C1),Approved,Modulator,D00398
D0J9GD,T53585,HMG-CoA reductase (HMGCR),Terminated,Antagonist,D00616
D0E2MJ,T84631,Coagulation factor Xa (F10),Discontinued in Phase 3,Inhibitor,D00955
D09JXM,T81183,Adrenergic receptor Alpha-1 (ADRA1),Withdrawn from market,Agonist,D00515
D0K3ZR,T44068,Adrenergic receptor beta-1 (ADRB1),Approved,Antagonist,D00061
D0O3FG,T27812,Serotonin transporter (SERT),Approved,Modulator,D00686
D01FGR,T77913,Histamine H1 receptor (H1R),Approved,Antagonist,D00121
D01FGR,T17448,Histamine N-methyltransferase (HNMT),Approved,Inhibitor,D00121
D0G6HA,T84173,Glucosylceramidase (GBA),Approved,Modulator,D01426
D03GOI,T36075,Glucagon-like peptide 1 receptor (GLP1R),Approved,Agonist,D01114
D0CY3A,T84631,Coagulation factor Xa (F10),Discontinued in Phase 3,Inhibitor,D00852
D0Q9WO,T75440,Translocator protein (TSPO),Approved,Binder,D00841
D04NDM,T72657,Staphylococcus 30S ribosomal subunit (Stap-coc pbp2),Approved,Binder,D00721
D01WJL,T60529,Prostaglandin G/H synthase 1 (COX-1),Approved,Modulator,D00281
D01WJL,T66665,Prostaglandin G/H synthase 2 (COX-2),Approved,Modulator,D00281
D01WJL,T17345,Dihydrofolate reductase (DHFR),Approved,Modulator,D00281
D08IFL,T03403,Prostaglandin G/H synthase (COX),Approved,Inhibitor,D00222
D05ATI,T63068,Serum albumin (ALB),Approved,Binder,D00859
D0R9BG,T28869,Bacterial Urease (Bact ureC),Approved,Inhibitor,D00022
D02IQY,T62151,Monoamine oxidase (MAO),Approved,Modulator,D00798
D06IZM,T71398,Guanylate cyclase (GC),Approved,Stimulator,D00898
D0T7ZQ,T89534,Estrogen receptor (ESR),Approved,Modulator,D01014
D0U0XD,T89534,Estrogen receptor (ESR),Approved,Modulator,D00455
D06RCB,T00140,Arachidonate 5-lipoxygenase (5-LOX),Approved,Inhibitor,D00119
D05ZGQ,T77913,Histamine H1 receptor (H1R),Approved,Modulator,D00872
D0I8LU,T67162,Dopamine D2 receptor (D2R),Approved,Antagonist,D00922
D07ONP,T29303,Sodium channel unspecific (NaC),Approved,Blocker,D00290
D0R7JT,T72168,Mineralocorticoid receptor  (MR),Approved,Agonist,D00528
D0R7JT,T11211,Androgen receptor (AR),Approved,Inhibitor,D00528
D00MIN,T16792,Iodothyronine deiodinase type I (DIO1),Approved,Inhibitor,D00812
D00MIN,T51120,Thyroid peroxidase (TPO),Approved,Inhibitor,D00812
D00WCX,T86591,Peroxisome proliferator-activated receptor alpha (PPARA),Approved,Agonist,D00549
D01ZSO,T83875,Monoamine oxidase type A (MAO-A),Approved,Inhibitor,D00250
D01ZSO,T62151,Monoamine oxidase (MAO),Approved,Inhibitor,D00250
D06YFA,T67162,Dopamine D2 receptor (D2R),Approved,Agonist,D00527
D0H8OH,T82146,Retinoic acid receptor gamma (RARG),Phase 3,Agonist,D01063
D0C2II,T13201,Carbonic anhydrase I (CA-I),Approved,Modulator,D00232
D0J5KF,T84160,5-HT 3 receptor (5HT3R),Approved,Antagonist,D00899
D0CT9Y,T89534,Estrogen receptor (ESR),Approved,Modulator,D00823
D0X6HD,T47768,Opioid receptor mu (MOP),Approved,Agonist,D00449
D0CF2Q,T09538,Alkaline phosphatase tissue-nonspecific (ALPL),Approved,Inhibitor,D00514
D06OFS,T01777,Adrenergic receptor alpha-2C (ADRA2C),Approved,Modulator,D00629
D01XLM,T64382,Gamma-aminobutyric acid receptor (GAR),Approved,Antagonist,D00300
D0YG7M,T77913,Histamine H1 receptor (H1R),Approved,Antagonist,D00205
D0T5UL,T69494,N-methyl-D-aspartate receptor (NMDAR),Approved,Antagonist,D00913
D0T0LU,T80896,Estrogen receptor beta (ESR2),Approved,Antagonist,D01178
D0A0JH,T34743,Bacterial Penicillin binding protein (Bact PBP),Approved,Binder,D00451
D03KQF,T21945,Norepinephrine transporter (NET),Approved,Inhibitor,D00217
D02HED,T67162,Dopamine D2 receptor (D2R),Approved,Antagonist,D00289
D00MYT,T11754,Fatty acid amide hydrolase (FAAH),Approved,Inhibitor,D00834
D07JJS,T88240,Bacterial Dihydropteroate synthetase (Bact folP),Approved,Inhibitor,D00347
D05KTE,T53378,Carbonic anhydrase IV (CA-IV),Investigative,Inhibitor,D00429
D0J2NK,T72657,Staphylococcus 30S ribosomal subunit (Stap-coc pbp2),Approved,Binder,D01210
D0B3QM,T62390,Tyrosine 3-monooxygenase (TH),Approved,Binder,D00761
D09GFL,T28893,Muscarinic acetylcholine receptor M1 (CHRM1),Approved,Antagonist,D00378
D09GFL,T51408,Adrenergic receptor beta-3 (ADRB3),Approved,Agonist,D00378
D0Y2HR,T77913,Histamine H1 receptor (H1R),Withdrawn from market,Antagonist,D00044
D0U1OE,T67162,Dopamine D2 receptor (D2R),Approved,Antagonist,D00362
D04JCN,T22118,Dopamine D1 receptor (D1R),Approved,Modulator,D00564
D04JCN,T67162,Dopamine D2 receptor (D2R),Approved,Modulator,D00564
D0Y7ZU,T86836,Human Deoxyribonucleic acid (hDNA),Approved,Breaker,D01329
D0T8VY,T03403,Prostaglandin G/H synthase (COX),Approved,Modulator,D00646
D0R4OM,T39610,Calmodulin (CALM),Approved,Inhibitor,D00377
D00WAM,T93878,Solute carrier family 12 member 1 (SLC12A1),Approved,Blocker,D00182
D02TBI,T34743,Bacterial Penicillin binding protein (Bact PBP),Approved,Binder,D00502
D0M4YC,T39716,Voltage-gated sodium channel alpha Nav1.5 (SCN5A),Approved,Blocker,D00124
D0Z1WA,T52522,Adrenergic receptor beta-2 (ADRB2),Approved,Agonist,D00316
D0K0KH,T64591,5-HT 3A receptor (HTR3A),Approved,Antagonist,D00810
D0Q2AT,T34743,Bacterial Penicillin binding protein (Bact PBP),Approved,Binder,D00504
D04VEJ,T72657,Staphylococcus 30S ribosomal subunit (Stap-coc pbp2),Approved,Binder,D01226
D0R1WR,T79961,Muscarinic acetylcholine receptor M5 (CHRM5),Approved,Antagonist,D00318
D02WIW,T77913,Histamine H1 receptor (H1R),Approved,Antagonist,D00494
D0X0RI,T39716,Voltage-gated sodium channel alpha Nav1.5 (SCN5A),Approved,Blocker,D00243
D0O2EM,T14342,Human immunodeficiency virus Reverse transcriptase (HIV RT),Approved,Modulator,D00257
D0JL2K,T22348,Bacterial DNA gyrase (Bact gyrase),Approved,Modulator,D00649
D03QGM,T67162,Dopamine D2 receptor (D2R),Approved,Antagonist,D00350
D0C5XC,T77913,Histamine H1 receptor (H1R),Approved,Antagonist,D00516
D09ZIO,T50688,Glycoprotein IIb/IIIa receptor (GPIIb/IIIa),Approved,Modulator,D00781
D0FX8A,T89034,Plasminogen (PLG),Approved,Activator,D01402
D0P3TX,T50688,Glycoprotein IIb/IIIa receptor (GPIIb/IIIa),Approved,Modulator,D01405
D0J5DC,T28692,Lipoprotein lipase (LPL),Approved,Activator,D00099
D02DPA,T30985,Histamine H2 receptor (H2R),Approved,Antagonist,D00092
D0RD5W,T79961,Muscarinic acetylcholine receptor M5 (CHRM5),Approved,Antagonist,D00711
D08FTG,T11843,Vitamin K epoxide reductase complex 1 (VKORC1),Approved,Inhibitor,D00293
D0R6BR,T51487,GABA(A) receptor alpha-1 (GABRA1),Approved,Antagonist,D00037
D06YHL,T34743,Bacterial Penicillin binding protein (Bact PBP),Approved,Binder,D00787
D0B0CP,T67162,Dopamine D2 receptor (D2R),Approved,Antagonist,D00813
D0P2CK,T75440,Translocator protein (TSPO),Approved,Agonist,D00134
D00YVF,T36075,Glucagon-like peptide 1 receptor (GLP1R),Approved,Binder,D01181
D0X7XG,T84972,Streptococcus Elongation factor G (Stre-coc fusA),Approved,Inhibitor,D00831
D05GJW,T03661,Adenosine deaminase (ADA),Approved,Inhibitor,D00501
D05OQJ,T51487,GABA(A) receptor alpha-1 (GABRA1),Approved,Antagonist,D00237
D03CQE,T22348,Bacterial DNA gyrase (Bact gyrase),Approved,Modulator,D00353
D03CQE,T40696,Staphylococcus Topoisomerase IV (Stap-coc parC),Approved,Modulator,D00353
D06HLY,T79961,Muscarinic acetylcholine receptor M5 (CHRM5),Approved,Agonist,D00409
D0U8UV,T77913,Histamine H1 receptor (H1R),Approved,Antagonist,D00469
D0U5SI,T12819,E3 ubiquitin-protein ligase COP1 (RFWD2),Approved,Modulator,D00314
D0V5ZZ,T28893,Muscarinic acetylcholine receptor M1 (CHRM1),Approved,Antagonist,D00322
D09IOI,T21945,Norepinephrine transporter (NET),Approved,Inhibitor,D00039
D02LPF,T86836,Human Deoxyribonucleic acid (hDNA),Approved,Breaker,D00028
D0R2KJ,T34743,Bacterial Penicillin binding protein (Bact PBP),Approved,Binder,D00497
D0YA9Z,T34743,Bacterial Penicillin binding protein (Bact PBP),Approved,Binder,D00432
D01ZJK,T73476,Antithrombin-III (ATIII),Approved,Modulator,D00009
D01ZJK,T73476,Antithrombin-III (ATIII),Approved,Modulator,D01359
D01ZJK,T73476,Antithrombin-III (ATIII),Approved,Modulator,D01360
D01ZJK,T73476,Antithrombin-III (ATIII),Approved,Modulator,D01361
D01ZJK,T73476,Antithrombin-III (ATIII),Approved,Modulator,D01362
D01ZJK,T73476,Antithrombin-III (ATIII),Approved,Modulator,D01363
D0S8WA,T73215,Leukocyte surface antigen Leu-16 (CD20),Approved,NA,D01427
D0B2UZ,T67162,Dopamine D2 receptor (D2R),Approved,Antagonist,D00317
D00SJE,T51487,GABA(A) receptor alpha-1 (GABRA1),Approved,Antagonist,D00340
D07WFK,T91480,ATP-binding cassette transporter C8 (ABCC8),Approved,Modulator,D00021
D09WCM,T63598,Pediculus humanus Nicotinic acetylcholine receptor (Pedhc nAChR),Approved,Modulator,D01130
D08BTB,T77796,Thyrotropin-releasing hormone receptor (TRHR),Approved,Modulator,D00803
D0U5VZ,T77913,Histamine H1 receptor (H1R),Approved,Antagonist,D00720
D0JQ7Y,T94033,Coagulation factor IIa (F2),Withdrawn from market,Inhibitor,D01007
D03TYI,T88975,Phosphodiesterase 3A (PDE3A),Approved,Inhibitor,D00457
D03DAP,T34123,Voltage-gated sodium channel alpha Nav1.9 (SCN11A),Approved,Blocker,D00151
D03DAP,T12819,E3 ubiquitin-protein ligase COP1 (RFWD2),Approved,Modulator,D00151
D0R5RR,T73342,Ribonucleotide reductase (RIR),Approved,Inhibitor,D00676
D0R5RR,T34743,Bacterial Penicillin binding protein (Bact PBP),Approved,Binder,D00676
D0D4PB,T23547,Opioid receptor (OPR),Approved,Agonist,D00464
D01ZII,T67162,Dopamine D2 receptor (D2R),Approved,Antagonist,D00087
D0X6IU,T88338,Bacterial 23S ribosomal RNA (Bact 23S rRNA),Approved,Binder,D00412
D0J4JM,T48873,Synaptic vesicle amine transporter (SLC18A2),Approved,Blocker,D00401
D0T8GD,T78111,Nicotinic acetylcholine receptor (nAChR),Approved,Antagonist,D00658
D0M6DO,T23145,Cholesterol desmolase (CYP11A1),Approved,Inhibitor,D00031
D0M6DO,T13260,Aromatase (CYP19A1),Approved,Inhibitor,D00031
D03VZH,T80387,GABA(A) receptor beta-2 (GABRB2),Approved,Antagonist,D00873
D03VZH,T51487,GABA(A) receptor alpha-1 (GABRA1),Approved,Antagonist,D00873
D0H8QL,T21945,Norepinephrine transporter (NET),Approved,Modulator,D00218
D0I0RJ,T55094,Acid-sensing ion channel 1 (ASIC1),Approved,Modulator,D00492
D06ULU,T31621,Fibroblast growth factor-2 (FGF2),Approved,Modulator,D01315
D07ZTO,T79961,Muscarinic acetylcholine receptor M5 (CHRM5),Approved,Agonist,D00056
D0X7HM,T86836,Human Deoxyribonucleic acid (hDNA),Approved,Modulator,D00753
D0QV5T,T11843,Vitamin K epoxide reductase complex 1 (VKORC1),Approved,Inhibitor,D01219
D0L7FM,T70680,Solute carrier family 22 member 8 (SLC22A8),Approved,Blocker,D00312
D0BA6T,T67162,Dopamine D2 receptor (D2R),Approved,Agonist,D00548
D04AAN,T67162,Dopamine D2 receptor (D2R),Approved,Agonist,D00229
D06LYG,T39716,Voltage-gated sodium channel alpha Nav1.5 (SCN5A),Approved,Blocker,D00309
D0F2XQ,T03661,Adenosine deaminase (ADA),Approved,Inhibitor,D00811
D07SOO,T51487,GABA(A) receptor alpha-1 (GABRA1),Approved,Antagonist,D00235
D0M3QP,T03917,Sodium/potassium-transporting ATPase (SPT ATPase),Approved,Inhibitor,D00755
D08HDY,T34743,Bacterial Penicillin binding protein (Bact PBP),Approved,Binder,D00672
D0Y0JH,T60529,Prostaglandin G/H synthase 1 (COX-1),Approved,Inhibitor,D00339
D0S7VO,T66665,Prostaglandin G/H synthase 2 (COX-2),Approved,Inhibitor,D00364
D0T5WK,T51487,GABA(A) receptor alpha-1 (GABRA1),Approved,Antagonist,D00264
D0T6SU,T29500,Adrenergic receptor alpha-1B (ADRA1B),Approved,Antagonist,D00525
D0E3FD,T54128,Glutamate receptor AMPA (GRIA),Approved,Binder,D00063
D0E8CI,T77913,Histamine H1 receptor (H1R),Approved,Antagonist,D00890
D09FJB,T09423,Inward rectifier potassium channel Kir1.2 (KCNJ10),Approved,Blocker,D00369
D07XJM,T28893,Muscarinic acetylcholine receptor M1 (CHRM1),Approved,Antagonist,D00118
D05CEU,T54644,Voltage-gated calcium channel alpha Cav3.2 (CACNA1H),Approved,Blocker,D00818
D05CEU,T34949,Voltage-gated calcium channel alpha Cav2.1 (CACNA1A),Approved,Inhibitor,D00818
D04KAQ,T34743,Bacterial Penicillin binding protein (Bact PBP),Approved,Binder,D00532
D0I8DD,T89883,Ryanodine receptor (RYR),Approved,Modulator,D00982
D0Y4JJ,T45993,Calcium channel unspecific (CaC),Approved,Modulator,D00053
D0D9FV,T69494,N-methyl-D-aspartate receptor (NMDAR),Approved,Antagonist,D00273
D04YMH,T66665,Prostaglandin G/H synthase 2 (COX-2),Approved,Inhibitor,D00705
D06ZPS,T63068,Serum albumin (ALB),Approved,Modulator,D00280
D05KON,T69494,N-methyl-D-aspartate receptor (NMDAR),Approved,Antagonist,D00141
D0Q5IN,T54128,Glutamate receptor AMPA (GRIA),Approved,Antagonist,D00008
D04QLR,T39716,Voltage-gated sodium channel alpha Nav1.5 (SCN5A),Approved,Blocker,D00131
D08WYM,T12475,Gonadotropin-releasing hormone receptor (GNRHR),Approved,Agonist,D01147
D08QUV,T55959,Dopamine transporter (DAT),Withdrawn from market,Inhibitor,D00539
D0X7DE,T83813,5-HT 2C receptor (HTR2C),Approved,Antagonist,D00256
D0X2MB,T44068,Adrenergic receptor beta-1 (ADRB1),Approved,Antagonist,D00278
D04XEG,T52522,Adrenergic receptor beta-2 (ADRB2),Approved,Agonist,D00147
