TTD_ID,Indication,State,FHDI_Drug_ID
D0U0RZ,Obesity [ICD-11: 5B81],Approved,D00295
D0B7CH,Urea cycle disorder [ICD-11: 5C50.A],Phase 2,D00296
D07VHR,Chronic pain [ICD-11: MG30],Approved,D00297
D0F2PO,Hypertension [ICD-11: BA00-BA04],Approved,D00298
D03OFF,Diabetic complication [ICD-11: 5A2Y],Approved,D00299
D03OFF,Type-2 diabetes [ICD-11: 5A11],Phase 3,D00299
D03OFF,Obesity [ICD-11: 5B81],Investigative,D00299
D01XLM,Enterobiasis [ICD-11: 1F65],Approved,D00300
D01XLM,Ascariasis [ICD-11: 1F62],Approved,D00300
D0Q4YK,Cognitive impairment [ICD-11: 6D71],Approved,D00301
D0T0LM,Peptic ulcer [ICD-11: DA61],Approved,D00302
D06TNG,Edema [ICD-11: MG29],Approved,D00303
D06TNG,Hypertension [ICD-11: BA00-BA04],Approved,D00303
D0E9JM,Hypokalemia [ICD-11: 5C77],Approved,D00304
D0KD1U,Cardiac arrhythmias [ICD-11: BC9Z],Approved,D00305
D0G3AQ,Anxiety disorder [ICD-11: 6B00-6B0Z],Approved,D00306
D0L9ZR,Flatworm infection [ICD-11: 1F70-1F86],Approved,D00307
D0WV3U,Congestive heart failure [ICD-11: BD10],Approved,D00308
D0WV3U,Benign prostatic hyperplasia [ICD-11: GA90],Approved,D00308
D0WV3U,Hypertension [ICD-11: BA00-BA04],Approved,D00308
D06LYG,Pain [ICD-11: MG30-MG3Z],Approved,D00309
D0T1LK,Malaria [ICD-11: 1F40-1F45],Approved,D00310
D0U5RT,Epilepsy [ICD-11: 8A60-8A68],Approved,D00311
D0L7FM,Hyperuricaemia [ICD-11: 5C55.Y],Approved,D00312
D0L7FM,Gout [ICD-11: FA25],Approved,D00312
D0H2DQ,Coronary artery disease [ICD-11: BA80],Approved,D00313
D0U5SI,Ventricular arrhythmias [ICD-11: BC71],Approved,D00314
D08GYO,Hodgkin lymphoma [ICD-11: 2B30],Approved,D00315
D0Z1WA,Asthma [ICD-11: CA23],Approved,D00316
D0B2UZ,Nausea [ICD-11: MD90],Approved,D00317
D0R1WR,Parkinson disease [ICD-11: 8A00.0],Approved,D00318
D00NAX,Psychomotor agitation [ICD-11: MB23.M],Approved,D00319
D0T2XU,Nausea [ICD-11: MD90],Approved,D00320
D0J2KV,Tachyarrhythmias [ICD-11: BC71],Approved,D00321
D0V5ZZ,Stomach ulcer [ICD-11: DA60.Z],Approved,D00322
D0V5ZZ,Excessive sweating [ICD-11: EE00.Z],Approved,D00322
D0TV9K,Urinary incontinence [ICD-11: MF50.2],Approved,D00323
D04JEE,Migraine [ICD-11: 8A80],Approved,D00324
D0O2WB,Myasthenia gravis [ICD-11: 8C6Y],Approved,D00325
D08JZS,Allergy [ICD-11: 4A80-4A85],Approved,D00326
D0C0SK,Malaria [ICD-11: 1F40-1F45],Approved,D00327
D03NPH,Insomnia [ICD-11: 7A00-7A0Z],Approved,D00328
D0H7KF,Schizophrenia [ICD-11: 6A20],Approved,D00329
D0H7KF,Alcohol dependence [ICD-11: 6C40.2],Phase 3,D00329
D0KL4J,Bacterial infection [ICD-11: 1A00-1C4Z],Approved,D00330
D01XBA,Osteoporosis [ICD-11: FB83.0],Approved,D00331
D03BQP,Peptic ulcer [ICD-11: DA61],Phase 3,D00332
D0H0KB,Amyotrophic lateral sclerosis [ICD-11: 8B60.0],Approved,D00333
D01AZG,Schizophrenia [ICD-11: 6A20],Approved,D00334
D0S9MU,Migraine [ICD-11: 8A80],Approved,D00335
D05VLS,Osteoarthritis [ICD-11: FA00-FA05],Approved,D00336
D0R9EQ,Parkinson disease [ICD-11: 8A00.0],Approved,D00337
D0G6VL,Diabetic complication [ICD-11: 5A2Y],Approved,D00338
D0Y0JH,Rheumatoid arthritis [ICD-11: FA20],Approved,D00339
D00SJE,Intractable insomnia [ICD-11: 7A00],Approved,D00340
D04YZL,Skin burns [ICD-11: ME65.0],Approved,D00341
D0PA5S,Paget's disease [ICD-11: FB85],Approved,D00343
D0PA5S,Paget's disease [ICD-11: FB85],Approved,D01374
D04VMT,Sinus rhythm disorder [ICD-11: BC9Y],Approved,D00344
D0AZ3C,Chronic myelogenous leukaemia [ICD-11: 2A20.0],Approved,D00345
D0AZ3C,Acute lymphoblastic leukaemia [ICD-11: 2A85],Approved,D00345
D0AZ3C,Intestinal cancer [ICD-11: 2C0Z],Phase 3,D00345
D0AZ3C,Lung cancer [ICD-11: 2C25.0],Phase 2,D00345
D0AZ3C,Systemic mastocytosis [ICD-11: 2A21.0],Investigative,D00345
D0E7PQ,Cutaneous T-cell lymphoma [ICD-11: 2B01],Approved,D00346
D07JJS,Urinary tract infection [ICD-11: GC08],Approved,D00347
D02ZTJ,Rheumatoid arthritis [ICD-11: FA20],Approved,D00348
D02ZTJ,Irritable bowel syndrome [ICD-11: DD91.0],Approved,D00348
D03DEI,Gout [ICD-11: FA25],Approved,D00349
D03QGM,Schizophrenia [ICD-11: 6A20],Approved,D00350
D0Z6UC,Migraine [ICD-11: 8A80],Approved,D00352
D03CQE,Respiratory tract infection [ICD-11: CA45],Approved,D00353
D0F3SY,Solid tumour/cancer [ICD-11: 2A00-2F9Z],Approved,D00354
D04BNP,Insomnia [ICD-11: 7A00-7A0Z],Approved,D00355
D0C8EU,Grade IV astrocytoma [ICD-11: 2A00.0],Approved,D00356
D0P9RF,Benign prostatic hyperplasia [ICD-11: GA90],Approved,D00357
D08SOF,Allergy [ICD-11: 4A80-4A85],Withdrawn from market,D00358
D0U7GK,Multiple myeloma [ICD-11: 2A83],Approved,D00359
D0Y0ER,Nausea [ICD-11: MD90],Approved,D00361
D0U1OE,Schizophrenia [ICD-11: 6A20],Approved,D00362
D00YZA,Breast cancer [ICD-11: 2C60-2C65],Approved,D00363
D0S7VO,Pain [ICD-11: MG30-MG3Z],Approved,D00364
D05LBU,Stroke [ICD-11: 8B20],Approved,D00365
D0A8CJ,Cystinuria [ICD-11: 5C60.2],Approved,D00367
D0A8CJ,Cystine urolithiasis [ICD-11: GB70-GB7Z],Approved,D00367
D01MDT,Spasm [ICD-11: MB47.3],Approved,D00368
D09FJB,Diabetic complication [ICD-11: 5A2Y],Approved,D00369
D06OIV,Non-insulin dependent diabetes [ICD-11: 5A11],Approved,D00370
D09BHB,Rheumatoid arthritis [ICD-11: FA20],Approved,D00371
D05HXX,Excessive bleeding [ICD-11: GA30.02],Approved,D00372
D00USF,Depression [ICD-11: 6A70-6A7Z],Approved,D00373
D00NKB,Congestive heart failure [ICD-11: BD10],Approved,D00374
D00NKB,Edema [ICD-11: MG29],Approved,D00374
D00NKB,Hypertension [ICD-11: BA00-BA04],Approved,D00374
D0U3LS,Insomnia [ICD-11: 7A00-7A0Z],Approved,D00375
D0R4OM,Schizophrenia [ICD-11: 6A20],Approved,D00377
D09GFL,Dystonia [ICD-11: 8A02],Approved,D00378
D09GFL,Parkinson disease [ICD-11: 8A00.0],Approved,D00378
D09GFL,Obesity [ICD-11: 5B81],Investigative,D00378
D0E0CT,Irritable bowel syndrome [ICD-11: DD91.0],Approved,D00379
D0U4VT,Pancreatic cancer [ICD-11: 2C10],Approved,D00381
D0U4VT,Epilepsy [ICD-11: 8A60-8A68],Approved,D00381
D0A8FB,Nausea and vomiting [ICD-11: MD90],Approved,D00382
D00HZV,Major depressive disorder [ICD-11: 6A70.3],Approved,D00383
D0FA2O,Vitiligo [ICD-11: ED63.0],Approved,D00384
D06XZW,Diabetic complication [ICD-11: 5A2Y],Approved,D00385
D0G6SD,Human immunodeficiency virus infection [ICD-11: 1C62],Approved,D00386
D0P1UX,Depression [ICD-11: 6A70-6A7Z],Approved,D00387
D0R3QY,Complex partial seizure [ICD-11: 8A68.0],Approved,D00388
D0R3QY,Infantile spasm [ICD-11: 8A62.0],Approved,D00388
D0R3QY,Epilepsy [ICD-11: 8A60-8A68],Approved,D00388
D0V9JR,Major depressive disorder [ICD-11: 6A70.3],Approved,D00389
D05DVP,Asthma [ICD-11: CA23],Approved,D00390
D09DWL,Insomnia [ICD-11: 7A00-7A0Z],Approved,D00391
D0T1WN,Insomnia [ICD-11: 7A00-7A0Z],Approved,D00393
D09ZIS,Epilepsy [ICD-11: 8A60-8A68],Approved,D00394
D0ZB7K,Insomnia [ICD-11: 7A00-7A0Z],Approved,D00395
D0IT2G,Rheumatoid arthritis [ICD-11: FA20],Approved,D00396
D0X4RS,Solid tumour/cancer [ICD-11: 2A00-2F9Z],Approved,D00397
D0KR5B,Inflammation [ICD-11: 1A00-CA43.1],Approved,D00398
D0KR5B,Congenital adrenal hyperplasia [ICD-11: 5A71.01],Phase 2,D00398
D0D1SG,Solid tumour/cancer [ICD-11: 2A00-2F9Z],Approved,D00399
D0D1SG,Multiple sclerosis [ICD-11: 8A40],Phase 3,D00399
D08QMX,Breast cancer [ICD-11: 2C60-2C65],Approved,D00400
D0J4JM,Hypertension [ICD-11: BA00-BA04],Approved,D00401
D06RGG,Hypothyroidism [ICD-11: 5A00],Approved,D00403
D0EP0C,Congestive heart failure [ICD-11: BD10],Approved,D00404
D08HZC,Rheumatoid arthritis [ICD-11: FA20],Approved,D00406
D0IL7L,Inflammation [ICD-11: 1A00-CA43.1],Approved,D00407
D0IL7L,Atopic dermatitis [ICD-11: EA80],Phase 1,D00407
D0IL7L,Eczema [ICD-11: EA80-EA89],Phase 1,D00407
D00ZFP,Menopausal and postmenopausal disorder [ICD-11: GA30],Approved,D00408
D06HLY,Glaucoma/ocular hypertension [ICD-11: 9C61],Approved,D00409
D0HE0Y,LambertEaton myasthenic syndrome [ICD-11: 8C62],Approved,D00410
D0S6JG,Hypothyroidism [ICD-11: 5A00],Approved,D00411
D0S6JG,Congestive heart failure [ICD-11: BD10],Phase 3,D00411
D0X6IU,Bacterial infection [ICD-11: 1A00-1C4Z],Approved,D00412
D01JIA,Short bowel syndrome [ICD-11: KB89.1],Approved,D00413
D09QVV,Acute lymphoblastic leukaemia [ICD-11: 2A85],Approved,D00414
D07BSQ,Premature labour [ICD-11: JB00],Approved,D00416
D07BSQ,Contraception [ICD-11: QA21],Phase 3,D00416
D0H6QU,Parkinson disease [ICD-11: 8A00.0],Approved,D00417
D0H6QU,Idiopathic parkinson disease [ICD-11: 8A00.0Z],Phase 3,D00417
D0H6QU,Sexual dysfunction [ICD-11: HA00-HA01],Phase 2,D00417
D09PJX,Hyperkinetic movement disorder [ICD-11: 6B60.8],Approved,D00418
D09PJX,Huntington disease [ICD-11: 8A01.10],Approved,D00418
D0O6IU,Fecal incontinence [ICD-11: ME07],Approved,D00419
D0O6IU,Ophthalmic graves disease [ICD-11: 5A02.0],Approved,D00419
D08HVR,Parkinson disease [ICD-11: 8A00.0],Approved,D00420
D0V0LB,Nephropathic cystinosis [ICD-11: 5C60],Approved,D00422
D04KTZ,Bacterial infection [ICD-11: 1A00-1C4Z],Approved,D00424
D0F1GS,Hypophosphatasia [ICD-11: 5C64.3],Approved,D00426
D09DHY,Acute gouty arthritis [ICD-11: FA25.0],Approved,D00428
D0GL7U,Solid tumour/cancer [ICD-11: 2A00-2F9Z],Approved,D00430
D0GL7U,Solid tumour/cancer [ICD-11: 2A00-2F9Z],Approved,D01375
D02WFK,Tuberculosis [ICD-11: 1B10-1B14],Approved,D00431
D02WFK,Bacterial infection [ICD-11: 1A00-1C4Z],Approved,D00431
D02WFK,Obsessive compulsive disorder [ICD-11: 6B20],Phase 2,D00431
D0YA9Z,Bacterial infection [ICD-11: 1A00-1C4Z],Approved,D00432
D05RHI,Virus infection [ICD-11: 1A24-1D9Z],Approved,D00433
D0J8ZA,Hypertension [ICD-11: BA00-BA04],Approved,D00435
D0L2LS,Breast cancer [ICD-11: 2C60-2C65],Approved,D00436
D08EOD,Epileptic seizures [ICD-11: 8A61-8A6Z],Approved,D00437
D0W9TE,Angina pectoris [ICD-11: BA40],Approved,D00438
D08HRJ,Nausea [ICD-11: MD90],Approved,D00439
D08PIQ,Solid tumour/cancer [ICD-11: 2A00-2F9Z],Approved,D00440
D08PIQ,Spinal cord injury [ICD-11: ND51.2],Investigative,D00440
D08VXO,Allergic rhinitis [ICD-11: CA08.0],Approved,D00441
D0I1SK,Anal fissure [ICD-11: DB50.0],Approved,D00443
D0I1SK,Angina pectoris [ICD-11: BA40],Approved,D00443
D00HHS,Nasal congestion [ICD-11: MD11.9],Approved,D00444
D0Q2ES,Cough [ICD-11: MD12],Approved,D00446
D01TSI,Headache [ICD-11: 8A80-8A84],Approved,D00447
D0X6HD,Pain [ICD-11: MG30-MG3Z],Approved,D00449
D0H4JM,Erectile dysfunction [ICD-11: HA01.1],Approved,D00450
D0A0JH,Arthritis [ICD-11: FA20],Approved,D00451
D0S8TD,Anaesthesia [ICD-11: 9A78.6],Approved,D00452
D0LG8E,Asthma [ICD-11: CA23],Approved,D00454
D0U0XD,Hormone replacement therapy [ICD-11: 8E01],Approved,D00455
D03TYI,Bronchial asthma [ICD-11: CA23],Approved,D00457
D03TYI,Asthma [ICD-11: CA23],Phase 2,D00457
D09FAZ,Myelodysplastic syndrome [ICD-11: 2A37],Approved,D00458
D0R9VR,Alzheimer disease [ICD-11: 8A20],Approved,D00460
D0O6GC,Migraine [ICD-11: 8A80],Approved,D00461
D01QLH,Angina pectoris [ICD-11: BA40],Approved,D00462
D0D4PB,Pain [ICD-11: MG30-MG3Z],Approved,D00464
D0V3ZA,Migraine [ICD-11: 8A80],Approved,D00468
D0U8UV,Nausea [ICD-11: MD90],Approved,D00469
D04UUH,Manic depression disorder [ICD-11: 6A71],Approved,D00472
D0Z4NI,Wilson disease [ICD-11: 5C64.00],Approved,D00473
D0Z4NI,Human immunodeficiency virus infection [ICD-11: 1C62],Investigative,D00473
D06UDO,Common cold [ICD-11: CA00],Approved,D00474
D0T5BC,Constipation [ICD-11: DD91.1],Approved,D00475
D0M0AM,Anaesthesia [ICD-11: 9A78.6],Approved,D00477
D0M0AM,Chronic obstructive pulmonary disease [ICD-11: CA22],Approved,D00477
D02YIZ,Bacterial infection [ICD-11: 1A00-1C4Z],Approved,D00478
D0BA9U,Contraception [ICD-11: QA21],Approved,D00479
D0BA9U,Contraception [ICD-11: QA21],Approved,D01376
D0W9MM,Solid tumour/cancer [ICD-11: 2A00-2F9Z],Approved,D00481
D07QPM,Kidney stone [ICD-11: GB70.0Z],Approved,D00482
D0J2TN,Diarrhea [ICD-11: ME05.1],Approved,D00483
D0Q4EW,Bipolar disorder [ICD-11: 6A60],Approved,D00484
D07VBA,Hormone replacement therapy [ICD-11: 8E01],Approved,D00485
D08QME,Pulmonary tuberculosis [ICD-11: 1B10.Z],Approved,D00486
D0B1IV,Methicillin-resistant staphylococci infection [ICD-11: 1A00-1A09],Approved,D00489
D0B1IV,MRSA infection [ICD-11: 1D01.0Y],Investigative,D00489
D0S5CH,Pain [ICD-11: MG30-MG3Z],Approved,D00490
D0I0RJ,Congestive heart failure [ICD-11: BD10],Approved,D00492
D00KHM,Schizophrenia [ICD-11: 6A20],Approved,D00493
D02WIW,Hay fever [ICD-11: CA08.00],Approved,D00494
D0Z8EX,Human immunodeficiency virus infection [ICD-11: 1C62],Approved,D00496
D0R2KJ,Bacterial infection [ICD-11: 1A00-1C4Z],Approved,D00497
D0H0HJ,Major depressive disorder [ICD-11: 6A70.3],Approved,D00498
D0H0HJ,Prostate cancer [ICD-11: 2C82.0],Patented,D00498
D0N7AD,Allergic rhinitis [ICD-11: CA08.0],Approved,D00499
D0OL7F,Pancreatic cancer [ICD-11: 2C10],Approved,D00500
D0OL7F,Diabetic complication [ICD-11: 5A2Y],Approved,D00500
D05GJW,Hairy cell leukaemia [ICD-11: 2A82.2],Approved,D00501
D05GJW,Multiple sclerosis [ICD-11: 8A40],Phase 3,D00501
D05GJW,Relapsing-remitting multiple sclerosis [ICD-11: 8A40.0],Phase 3,D00501
D02TBI,Infection of the upper and lower urinary tract [ICD-11: GC08],Approved,D00502
D0Q4YI,Angina pectoris [ICD-11: BA40],Approved,D00503
D0Q2AT,Bacterial infection [ICD-11: 1A00-1C4Z],Approved,D00504
D00KRE,Ulcerative colitis [ICD-11: DD71],Approved,D00505
D09TPF,Schizophrenia [ICD-11: 6A20],Approved,D00506
D0Y3TM,Iron-deficiency anemia [ICD-11: 3A00],Approved,D00507
D0Z9QR,Human immunodeficiency virus infection [ICD-11: 1C62],Approved,D00510
D0Z8AE,Virus infection [ICD-11: 1A24-1D9Z],Approved,D00511
D0S2UG,Major depressive disorder [ICD-11: 6A70.3],Approved,D00513
D0S2UG,Skin imperfections [ICD-11: EK71],Patented,D00513
D0S2UG,Chemotherapy-induced nausea [ICD-11: MD90],Discontinued in Phase 3,D00513
D0CF2Q,Parasitic infection [ICD-11: 1D0Y-1G2Z],Approved,D00514
D0CF2Q,Colon cancer [ICD-11: 2B90.Z],Withdrawn from market,D00514
D09JXM,Obesity [ICD-11: 5B81],Withdrawn from market,D00515
D0C5XC,Allergic rhinitis [ICD-11: CA08.0],Approved,D00516
D0L3TR,Autoimmune diabetes [ICD-11: 5A10],Phase 2,D00517
D0Z5EM,Bacterial infection [ICD-11: 1A00-1C4Z],Approved,D00519
D0YS7D,Hydrocephalus [ICD-11: 8D64],Approved,D00520
D0D0BE,Amoebiasis [ICD-11: 1A36],Approved,D00521
D09IPV,Menorrhagia [ICD-11: GA20.50],Approved,D00522
D09IPV,Breast cancer [ICD-11: 2C60-2C65],Phase 2,D00522
D0T6SU,Obesity [ICD-11: 5B81],Approved,D00525
D0K0MW,Opioid dependence [ICD-11: 6C43.2Z],Approved,D00526
D0K0MW,Heroin and opiate withdrawal [ICD-11: 6C43],Approved,D00526
D06YFA,Parkinson disease [ICD-11: 8A00.0],Approved,D00527
D0R7JT,Cerebral salt-wasting syndrome [ICD-11: 5C72],Approved,D00528
D0G3SH,Primary biliary cirrhosis [ICD-11: DB96.1],Approved,D00529
D04XGT,Chagas disease [ICD-11: IF53],Approved,D00530
D04XGT,Trypanosomiasis [ICD-11: 1D51-1F53],Approved,D00530
D07VLY,Solid tumour/cancer [ICD-11: 2A00-2F9Z],Approved,D00531
D07VLY,Hepatocellular carcinoma [ICD-11: 2C12.02],Phase 3,D00531
D07VLY,Breast cancer [ICD-11: 2C60-2C65],Phase 2,D00531
D07VLY,Tumour [ICD-11: 2A00-2F9Z],Investigative,D00531
D04KAQ,Bacterial infection [ICD-11: 1A00-1C4Z],Approved,D00532
D0F6EO,Bacterial infection [ICD-11: 1A00-1C4Z],Approved,D00533
D05GKD,Pain [ICD-11: MG30-MG3Z],Approved,D00534
D0QL3P,Epilepsy [ICD-11: 8A60-8A68],Approved,D00535
D0P7JZ,Parkinson disease [ICD-11: 8A00.0],Approved,D00537
D0U3YU,Hepatic fibrosis [ICD-11: DB93.0],Approved,D00538
D0U3YU,Cerebrovascular ischaemia [ICD-11: 8B1Z],Phase 4,D00538
D08QUV,Major depressive disorder [ICD-11: 6A70.3],Withdrawn from market,D00539
D01XYJ,Human immunodeficiency virus infection [ICD-11: 1C62],Approved,D00540
D01XYJ,Virus infection [ICD-11: 1A24-1D9Z],Investigative,D00540
D07BCT,Bacterial infection [ICD-11: 1A00-1C4Z],Approved,D00541
D0B7EB,Solid tumour/cancer [ICD-11: 2A00-2F9Z],Approved,D00543
D07MVK,Malaria [ICD-11: 1F40-1F45],Approved,D00544
D0H3WI,Hepatitis C virus infection [ICD-11: 1E51.1],Approved,D00545
D0F8CM,Painful bladder syndrome [ICD-11: MG30.50],Approved,D00546
D0F8CM,Interstitial cystitis [ICD-11: GC00.3],Approved,D00546
D06KKS,Bacterial infection [ICD-11: 1A00-1C4Z],Approved,D00547
D0BA6T,Hypertension [ICD-11: BA00-BA04],Approved,D00548
D00WCX,Hyperlipidaemia [ICD-11: 5C80],Approved,D00549
D05SHK,High blood pressure [ICD-11: BA00],Approved,D00550
D0OB1J,Hypertension [ICD-11: BA00-BA04],Approved,D00551
D06YPU,Ankylosing spondylitis [ICD-11: FA92.0],Approved,D00552
D02WCI,Idiopathic pulmonary fibrosis [ICD-11: CB03.4],Approved,D00553
D0J1NQ,Irritable bowel syndrome [ICD-11: DD91.0],Phase 3,D00554
D04RLY,Acute lymphoblastic leukaemia [ICD-11: 2A85],Approved,D00555
D08EBN,Diarrhea [ICD-11: ME05.1],Approved,D00556
D0D8DD,Analgesia [ICD-11: MB40.8],Approved,D00557
D0AD5C,Diabetic complication [ICD-11: 5A2Y],Approved,D00558
D0AD5C,Cardiovascular disease [ICD-11: BA00-BE2Z],Phase 3,D00558
D06GDY,Depression [ICD-11: 6A70-6A7Z],Approved,D00560
D0I0EG,Hypertension [ICD-11: BA00-BA04],Approved,D00561
D0C2YB,Bacterial infection [ICD-11: 1A00-1C4Z],Approved,D00562
D04JCN,Parkinson disease [ICD-11: 8A00.0],Approved,D00564
D0X9ZC,Bacterial infection [ICD-11: 1A00-1C4Z],Approved,D00565
D02VMJ,Helminth infection [ICD-11: 1F90.0],Approved,D00566
D0PW7C,Bacterial infection [ICD-11: 1A00-1C4Z],Approved,D00567
D0G5QB,Anaesthesia [ICD-11: 9A78.6],Approved,D00568
D0HR8Z,Type 1 gaucher disease [ICD-11: 5C56.0Y],Approved,D00569
D0AP9T,Bacterial infection [ICD-11: 1A00-1C4Z],Approved,D00570
D06WTZ,Hypercholesterolaemia [ICD-11: 5C80.0],Approved,D00571
D06WTZ,Cardiovascular disease [ICD-11: BA00-BE2Z],Phase 3,D00571
D0H0ND,Hypercholesterolaemia [ICD-11: 5C80.0],Approved,D00572
D0A6KR,Inflammatory bowel disease [ICD-11: DD72],Approved,D00573
D02RQU,Hypercholesterolaemia [ICD-11: 5C80.0],Approved,D00574
D04EGX,Hyperprolactinaemia [ICD-11: 5A60.1],Approved,D00575
D04CRN,Attention deficit hyperactivity disorder [ICD-11: 6A05.Z],Approved,D00576
D0I7SZ,Hypertension [ICD-11: BA00-BA04],Approved,D00577
D0I7SZ,Hypertension [ICD-11: BA00-BA04],Approved,D00577
D0I7SZ,Hypertension [ICD-11: BA00-BA04],Approved,D01378
D0I7SZ,Hypertension [ICD-11: BA00-BA04],Approved,D01378
D0Z4EI,Cushing disease [ICD-11: 5A70],Approved,D00578
D0V4IB,Fungal infection [ICD-11: 1F29-1F2F],Approved,D00579
D0X8KY,Hypertension [ICD-11: BA00-BA04],Approved,D00580
D04GKO,Congestive heart failure [ICD-11: BD10],Approved,D00581
D0J5YC,Epilepsy [ICD-11: 8A60-8A68],Approved,D00582
D03HYQ,Chronic/stable angina [ICD-11: BA40.1],Approved,D00583
D03HYQ,Paroxysmal atrial fibrillation [ICD-11: BC81.30],Phase 2,D00583
D08IWD,Benign prostatic hyperplasia [ICD-11: GA90],Approved,D00584
D06CTE,Skin cancer [ICD-11: 2C30-2C37],Approved,D00585
D0D2VS,Hormonally-responsive breast cancer [ICD-11: 2C60-2C65],Approved,D00586
D0K6GZ,Bacterial infection [ICD-11: 1A00-1C4Z],Approved,D00587
D09JUG,Asthma [ICD-11: CA23],Approved,D00588
D0N0TZ,Thrombosis [ICD-11: DB61-GB90],Approved,D00589
D0N0TZ,Thrombosis [ICD-11: DB61-GB90],Approved,D00589
D0ED7U,Epilepsy [ICD-11: 8A60-8A68],Approved,D00590
D0ED7U,Anxiety disorder [ICD-11: 6B00-6B0Z],Phase 2,D00590
D02PMO,Ovarian cancer [ICD-11: 2C73],Approved,D00591
D02PMO,Solid tumour/cancer [ICD-11: 2A00-2F9Z],Approved,D00591
D02PMO,Small-cell lung cancer [ICD-11: 2C25.Y],Phase 1,D00591
D02RQT,Rheumatoid arthritis [ICD-11: FA20],Phase 3,D00592
D0U1OM,Postoperative inflammation [ICD-11: 1A00-CA43.1],Approved,D00593
D0U1OM,Inflammation [ICD-11: 1A00-CA43.1],Withdrawn from market,D00593
D03UVS,Solid tumour/cancer [ICD-11: 2A00-2F9Z],Approved,D00594
D0H3HM,Schizophrenia [ICD-11: 6A20],Approved,D00595
D0H3HM,Erythropoietic porphyrias [ICD-11: 5C58.12],Approved,D00595
D0H3HM,Major depressive disorder [ICD-11: 6A70.3],Phase 3,D00595
D0H3HM,Bipolar disorder [ICD-11: 6A60],Application submitted,D00595
D0T5OX,Anaesthesia [ICD-11: 9A78.6],Approved,D00596
D01QIN,Cardiovascular disease [ICD-11: BA00-BE2Z],Approved,D00597
D07TQV,Chronic HBV infection [ICD-11: 1E51.0Z],Approved,D00598
D07TQV,Human immunodeficiency virus infection [ICD-11: 1C62],Approved,D00598
D07TQV,Human immunodeficiency virus-1 infection [ICD-11: 1C62],Approved,D00598
D01AXB,Depression [ICD-11: 6A70-6A7Z],Approved,D00599
D07HOB,Colorectal cancer [ICD-11: 2B91.Z],Approved,D00600
D06UDG,Hypertension [ICD-11: BA00-BA04],Approved,D00601
D08SJZ,Osteoporosis [ICD-11: FB83.0],Approved,D00602
D0R1JV,Schizophrenia [ICD-11: 6A20],Approved,D00603
D0NG7O,Migraine [ICD-11: 8A80],Approved,D00604
D0ML1F,Hepatitis B virus infection [ICD-11: 1E51.0],Approved,D00605
D0S9SD,Human immunodeficiency virus infection [ICD-11: 1C62],Approved,D00606
D0S9SD,Hepatitis virus infection [ICD-11: 1E50-1E51],Approved,D00606
D0S9SD,Hepatitis B virus infection [ICD-11: 1E51.0],Phase 3,D00606
D0Q8CS,Osteoporosis [ICD-11: FB83.0],Approved,D00607
D0Q8CS,Osteoporosis [ICD-11: FB83.0],Approved,D01379
D00HCQ,Colorectal cancer [ICD-11: 2B91.Z],Approved,D00608
D00HCQ,Breast cancer [ICD-11: 2C60-2C65],Phase 3,D00608
D06IAR,Paroxysmal supraventricular tachycardia [ICD-11: BC81.Z],Approved,D00609
D04CJL,Chronic kidney disease [ICD-11: GB61],Approved,D00610
D0GJ8R,Primary hypercholesterolemia [ICD-11: 5C80.00],Approved,D00612
D0Z6QG,Schizophrenia [ICD-11: 6A20],Approved,D00613
D03WPA,Bacterial infection [ICD-11: 1A00-1C4Z],Approved,D00614
D07HVY,Human immunodeficiency virus infection [ICD-11: 1C62],Approved,D00615
D0NF1U,Cardiovascular disease [ICD-11: BA00-BE2Z],Approved,D00617
D0NF1U,Cardiovascular disease [ICD-11: BA00-BE2Z],Approved,D00617
D0NF1U,Cardiovascular disease [ICD-11: BA00-BE2Z],Approved,D01380
D0NF1U,Cardiovascular disease [ICD-11: BA00-BE2Z],Approved,D01380
D0A0OO,Human immunodeficiency virus infection [ICD-11: 1C62],Approved,D00618
D0O5NK,Influenza virus infection [ICD-11: 1E30-1E32],Approved,D00619
D02AXG,Hypogonadism [ICD-11: 5A61.0],Approved,D00620
D09VGC,Depression [ICD-11: 6A70-6A7Z],Approved,D00621
D0P6ZH,Hypertension [ICD-11: BA00-BA04],Approved,D00622
D06MAJ,Allergic rhinitis [ICD-11: CA08.0],Approved,D00623
D0N5YA,Diabetic complication [ICD-11: 5A2Y],Approved,D00624
D0N6RF,Hypertension [ICD-11: BA00-BA04],Approved,D00625
D0F9SG,Obesity [ICD-11: 5B81],Withdrawn from market,D00626
D0K0TC,Depression [ICD-11: 6A70-6A7Z],Approved,D00627
D00TGR,Crohn disease [ICD-11: DD70],Approved,D00628
D06OFS,Hypertension [ICD-11: BA00-BA04],Approved,D00629
D00RWW,Trypanosomiasis [ICD-11: 1D51-1F53],Phase 2/3,D00631
D06CVT,Major depressive disorder [ICD-11: 6A70.3],Approved,D00633
D0Z4ZT,Contraception [ICD-11: QA21],Approved,D00634
D0M9BW,Malaria [ICD-11: 1F40-1F45],Approved,D00635
D00MLW,Long-chain fatty acid oxidation disorder [ICD-11: BC43.10],Approved,D00637
D00MLW,Genetic epileptic syndromes with variable age of onset [ICD-11: 8A61.4Y],Phase 3,D00637
D0GC2M,Alcohol dependence [ICD-11: 6C40.2],Approved,D00638
