TTD_ID,Indication,State,FHDI_Drug_ID
D0A4JK,Insomnia [ICD-11: 7A00-7A0Z],Approved,D00067
D05BQK,Anxiety disorder [ICD-11: 6B00-6B0Z],Approved,D00068
D05BQK,Headache [ICD-11: 8A80-8A84],Approved,D00068
D0B3HD,Orthostatic hypotension [ICD-11: BA21],Approved,D00069
D0R0FE,Hypertension [ICD-11: BA00-BA04],Approved,D00070
D0Y6SQ,Cystic fibrosis [ICD-11: CA25],Phase 2,D00071
D00FGV,Vasomotor/allergic rhinitis [ICD-11: CA08],Approved,D00075
D05PLH,Musculoskeletal disorder [ICD-11: FA00-FC0Z],Approved,D00076
D0W9LX,Congestive heart failure [ICD-11: BD10],Approved,D00078
D03RTS,Rheumatoid arthritis [ICD-11: FA20],Approved,D00079
D03RTS,Pain [ICD-11: MG30-MG3Z],Phase 3,D00079
D02OAV,Alcohol dependence [ICD-11: 6C40.2],Approved,D00082
D0V8QT,Chronic lymphocytic leukaemia [ICD-11: 2A82.0],Approved,D00083
D06BEP,Anxiety disorder [ICD-11: 6B00-6B0Z],Approved,D00085
D0B7NG,Allergic rhinitis [ICD-11: CA08.0],Approved,D00086
D01ZII,Schizophrenia [ICD-11: 6A20],Approved,D00087
D00BCP,Non-insulin dependent diabetes [ICD-11: 5A11],Approved,D00088
D09NIA,Edema [ICD-11: MG29],Approved,D00089
D09NIA,Hypertension [ICD-11: BA00-BA04],Approved,D00089
D08ZEB,Acute pain [ICD-11: MG31],Approved,D00090
D03VPC,Intermittent claudication [ICD-11: BD40.00],Approved,D00091
D02DPA,Acid-reflux disorder [ICD-11: DA22],Approved,D00092
D0O1WX,Bacterial infection [ICD-11: 1A00-1C4Z],Approved,D00093
D0O1WX,Gram-positive bacterial infection [ICD-11: 1B74-1G40],Approved,D00093
D0O1WX,Cystic fibrosis [ICD-11: CA25],Phase 2,D00093
D0O1WX,Biliary cancer [ICD-11: 2E92.7],Phase 1,D00093
D0Y5DO,Depression [ICD-11: 6A70-6A7Z],Approved,D00094
D0Q1BT,Irritable bowel syndrome [ICD-11: DD91.0],Approved,D00095
D0Q1BT,Abdominal stomach pain [ICD-11: DD91.4],Approved,D00095
D0Q1BT,Irritable bowel syndrome [ICD-11: DD91.0],Approved,D00095
D0Q1BT,Abdominal stomach pain [ICD-11: DD91.4],Approved,D00095
D0Q1BT,Irritable bowel syndrome [ICD-11: DD91.0],Approved,D01364
D0Q1BT,Abdominal stomach pain [ICD-11: DD91.4],Approved,D01364
D0Q1BT,Irritable bowel syndrome [ICD-11: DD91.0],Approved,D01364
D0Q1BT,Abdominal stomach pain [ICD-11: DD91.4],Approved,D01364
D0S5UH,Crohn disease [ICD-11: DD70],Approved,D00097
D0S5UH,Mycobacterium infection [ICD-11: 1B10-1B21],Investigative,D00097
D0J5DC,Dysbetalipoproteinemia [ICD-11: 5C80.2],Approved,D00099
D0ZS8P,Depression [ICD-11: 6A70-6A7Z],Approved,D00100
D0CP4E,Epilepsy [ICD-11: 8A60-8A68],Approved,D00101
D0CP4E,Seizure disorder [ICD-11: 8A6Z],Phase 2,D00101
D03SKR,Hypertension [ICD-11: BA00-BA04],Approved,D00102
D03SKR,Diabetic neuropathy [ICD-11: 8C0Z],Phase 3,D00102
D05VQI,Dementia [ICD-11: 6D80-6D86],Approved,D00106
D01KHH,Depression [ICD-11: 6A70-6A7Z],Approved,D00107
D0CT9C,Solid tumour/cancer [ICD-11: 2A00-2F9Z],Approved,D00108
D00TLN,Rhinitis [ICD-11: FA20],Approved,D00109
D0MA9N,Pneumocystis pneumonia [ICD-11: CA40.20],Approved,D00110
D0MP5H,Hypertension [ICD-11: BA00-BA04],Approved,D00111
D0MP5H,Hypertension [ICD-11: BA00-BA04],Approved,D01365
D0N0OU,Thalassemia [ICD-11: 3A50],Approved,D00112
D01UTL,Attention deficit hyperactivity disorder [ICD-11: 6A05.Z],Approved,D00113
D01UTL,Depression [ICD-11: 6A70-6A7Z],Approved,D00113
D05BMG,Attention deficit hyperactivity disorder [ICD-11: 6A05.Z],Approved,D00114
D07JVL,Epilepsy [ICD-11: 8A60-8A68],Approved,D00115
D0TG1H,Osteoarthritis [ICD-11: FA00-FA05],Approved,D00116
D0J4GO,Chronic glaucoma [ICD-11: 9C61.0Z],Approved,D00117
D0J4GO,Chronic glaucoma [ICD-11: 9C61.0Z],Approved,D01366
D07XJM,Functional bowel syndrome [ICD-11: DD91.0],Approved,D00118
D06RCB,Lymphatic filariasis [ICD-11: 1F66.3],Approved,D00119
D08LFZ,Pain [ICD-11: MG30-MG3Z],Approved,D00120
D01FGR,Meniere disease [ICD-11: AB31.0],Approved,D00121
D0F9GE,Hypertension [ICD-11: BA00-BA04],Approved,D00122
D06JRD,Pain [ICD-11: MG30-MG3Z],Withdrawn from market,D00123
D06JRD,Fever [ICD-11: MG26],Withdrawn from market,D00123
D0M4YC,Ventricular arrhythmias [ICD-11: BC71],Approved,D00124
D0M4YC,Urinary incontinence [ICD-11: MF50.2],Withdrawn from market,D00124
D0X5SD,Alcohol dependence [ICD-11: 6C40.2],Approved,D00125
D0AV3G,Gastrointestinal disease [ICD-11: DE2Z],Approved,D00127
D0NS6H,Alzheimer disease [ICD-11: 8A20],Approved,D00128
D03MIR,Hypertension [ICD-11: BA00-BA04],Approved,D00129
D0Y2LR,Morning sickness [ICD-11: SC00],Approved,D00130
D04QLR,Pain [ICD-11: MG30-MG3Z],Approved,D00131
D0R8ER,Urinary tract infection [ICD-11: GC08],Approved,D00133
D0P2CK,Insomnia [ICD-11: 7A00-7A0Z],Approved,D00134
D0Q4XQ,Epilepsy [ICD-11: 8A60-8A68],Approved,D00136
D05EPM,Complex partial seizure [ICD-11: 8A68.0],Approved,D00137
D00NNC,Paget's disease [ICD-11: FB85],Approved,D00138
D0N1WU,Pain [ICD-11: MG30-MG3Z],Approved,D00139
D0VT8P,Virus infection [ICD-11: 1A24-1D9Z],Approved,D00140
D05KON,Epilepsy [ICD-11: 8A60-8A68],Approved,D00141
D0WN0U,Hypertension [ICD-11: BA00-BA04],Approved,D00142
D09WNK,Dravet syndrome [ICD-11: 8A61.11],Phase 3,D00143
D09WNK,LennoxGastaut syndrome [ICD-11: 8A62.1],Phase 3,D00143
D09WNK,Obesity [ICD-11: 5B81],Withdrawn from market,D00143
D07XGR,High cholesterol level [ICD-11: 5C80.0],Approved,D00144
D0R6BI,Hypertension [ICD-11: BA00-BA04],Approved,D00145
D03XYW,Rheumatoid arthritis [ICD-11: FA20],Approved,D00146
D04XEG,Asthma [ICD-11: CA23],Approved,D00147
D0E1WI,Analgesia [ICD-11: MB40.8],Approved,D00148
D0E1WI,Pain [ICD-11: MG30-MG3Z],Phase 3,D00148
D0E1WI,Cancer related pain [ICD-11: MG30],Phase 3,D00148
D0E1WI,Chronic pain [ICD-11: MG30],Phase 1,D00148
D01KPV,Allergic rhinitis [ICD-11: CA08.0],Approved,D00149
D0ND2J,Suprapubic pain [ICD-11: MG30-MG3Z],Approved,D00150
D0ND2J,Nocturia [ICD-11: MF55],Approved,D00150
D0ND2J,Urgency [ICD-11: N.A.],Approved,D00150
D0ND2J,Dysuria [ICD-11: MF50.7],Approved,D00150
D03DAP,Tachyarrhythmias [ICD-11: BC71],Approved,D00151
D03DAP,Paroxysmal atrial fibrillation [ICD-11: BC81.30],Phase 1,D00151
D03DAP,Atrial fibrillation [ICD-11: BC81.3],Investigative,D00151
D06GAM,Bacterial infection [ICD-11: 1A00-1C4Z],Approved,D00152
D0AK5R,Arthritis [ICD-11: FA20],Withdrawn from market,D00153
D09LNI,Fungal infection [ICD-11: 1F29-1F2F],Approved,D00154
D06FWC,Anxiety disorder [ICD-11: 6B00-6B0Z],Approved,D00155
D0P5SA,Psychotic disorder [ICD-11: 6A20-6A25],Approved,D00156
D0D5GD,Benzodiazepine overdose [ICD-11: PC91],Approved,D00157
D0W2NM,Insomnia [ICD-11: 7A00-7A0Z],Approved,D00158
D05LEO,Solid tumour/cancer [ICD-11: 2A00-2F9Z],Approved,D00159
D05LEO,Tumour [ICD-11: 2A00-2F9Z],Investigative,D00159
D05LEO,Colorectal cancer [ICD-11: 2B91.Z],Investigative,D00159
D0TR5X,Depression [ICD-11: 6A70-6A7Z],Approved,D00160
D0TR5X,Depression [ICD-11: 6A70-6A7Z],Approved,D00160
D08XFV,Insomnia [ICD-11: 7A00-7A0Z],Approved,D00161
D0A1PX,Rheumatoid arthritis [ICD-11: FA20],Approved,D00162
D0U5FS,Schizophrenia [ICD-11: 6A20],Approved,D00163
D0Y0SW,Prostate cancer [ICD-11: 2C82.0],Approved,D00164
D02NJA,Athylene glycol or methanol poisoning [ICD-11: NE61],Approved,D00165
D0PQ3G,Congestive heart failure [ICD-11: BD10],Approved,D00166
D0PQ3G,Congestive heart failure [ICD-11: BD10],Approved,D01367
D0J0ZS,Complex partial seizure [ICD-11: 8A68.0],Approved,D00167
D0J0ZS,Solid tumour/cancer [ICD-11: 2A00-2F9Z],Phase 3,D00167
D05PHH,Pancreatitis [ICD-11: DC31-DC34],Approved,D00168
D05VIX,Hyperlipidaemia [ICD-11: 5C80],Approved,D00169
D0M2MR,Diabetic complication [ICD-11: 5A2Y],Approved,D00170
D0M2MR,Diabetic complication [ICD-11: 5A2Y],Approved,D01368
D0B2GI,Diabetic complication [ICD-11: 5A2Y],Approved,D00171
D0Z4SB,Diabetic complication [ICD-11: 5A2Y],Approved,D00172
D0Z9NZ,Insomnia [ICD-11: 7A00-7A0Z],Approved,D00173
D05LYX,Diabetic complication [ICD-11: 5A2Y],Approved,D00174
D05LYX,Stroke [ICD-11: 8B20],Phase 3,D01369
D05LYX,Diabetic complication [ICD-11: 5A2Y],Approved,D00174
D05LYX,Stroke [ICD-11: 8B20],Phase 3,D01369
D0N3PE,Moderate and severe hypertension [ICD-11: BA00.Z],Approved,D00177
D0D1AL,Schizophrenia [ICD-11: 6A20],Approved,D00178
D00FGR,Leishmaniasis [ICD-11: 1F54],Approved,D00179
D00FGR,Visceral leishmaniasis [ICD-11: 1F54.0],Phase 2,D00179
D0K1XK,Hypertension [ICD-11: BA00-BA04],Approved,D00180
D0U4UQ,Hypertension [ICD-11: BA00-BA04],Approved,D00181
D00WAM,Congestive heart failure [ICD-11: BD10],Approved,D00182
D0OJ4L,Malaria [ICD-11: 1F40-1F45],Approved,D00183
D07CWD,Chronic myelogenous leukaemia [ICD-11: 2A20.0],Approved,D00184
D0O6SX,Anxiety disorder [ICD-11: 6B00-6B0Z],Approved,D00185
D03QJL,Castleman's disease [ICD-11: 4B2Y],Approved,D00186
D03QJL,Amyotrophic lateral sclerosis [ICD-11: 8B60.0],Phase 2,D00186
D03QJL,Alcohol dependence [ICD-11: 6C40.2],Phase 2,D00186
D03QJL,Methamphetamine dependence [ICD-11: 6C46.2],Phase 2,D00186
D03QJL,Opioid dependence [ICD-11: 6C43.2Z],Phase 2,D00186
D03QJL,Multiple sclerosis [ICD-11: 8A40],Phase 2,D00186
D0R1QE,Pain [ICD-11: MG30-MG3Z],Approved,D00187
D0P9AC,Depression [ICD-11: 6A70-6A7Z],Approved,D00188
D0P9AC,Skin imperfections [ICD-11: EK71],Patented,D00188
D0X4RN,Anaesthesia [ICD-11: 9A78.6],Approved,D00189
D0X4RN,Dysmenorrhea [ICD-11: GA34.3],Phase 2,D00189
D0MM8N,Cognitive impairment [ICD-11: 6D71],Approved,D00190
D0MM8N,Friedreich's ataxia [ICD-11: 8A03.10],Approved,D00190
D02TLO,Solid tumour/cancer [ICD-11: 2A00-2F9Z],Approved,D00191
D06ZUK,Depression [ICD-11: 6A70-6A7Z],Approved,D00192
D0H8FH,Hypertension [ICD-11: BA00-BA04],Approved,D00193
D0R1RS,Rheumatoid arthritis [ICD-11: FA20],Approved,D00194
D0R1RS,Rheumatoid arthritis [ICD-11: FA20],Approved,D01370
D00JAU,Hypertension [ICD-11: BA00-BA04],Approved,D00198
D0I2VK,Depression [ICD-11: 6A70-6A7Z],Approved,D00199
D09XQF,Tuberculosis [ICD-11: 1B10-1B1Z],Approved,D00200
D0Z7KE,Hypertension [ICD-11: BA00-BA04],Approved,D00201
D0Z7KE,Herpes simplex virus infection [ICD-11: 1F00],Phase 3,D00201
D0UM7O,Anaesthesia [ICD-11: 9A78.6],Approved,D00202
D0W9WF,Musculoskeletal pain [ICD-11: MG30],Approved,D00203
D0W9WF,Pain [ICD-11: MG30-MG3Z],Phase 3,D00203
D0W9WF,Migraine [ICD-11: 8A80],Phase 2,D00203
D0W9WF,Osteoarthritis [ICD-11: FA00-FA05],Phase 1,D00203
D0D9JW,Postoperative inflammation [ICD-11: 1A00-CA43.1],Approved,D00204
D0YG7M,Allergic conjunctivitis [ICD-11: 9A60.02],Approved,D00205
D0A8XN,Hypertension [ICD-11: BA00-BA04],Approved,D00206
D03FLC,Bipolar disorder [ICD-11: 6A60],Approved,D00207
D03FLC,Epilepsy [ICD-11: 8A60-8A68],Approved,D00207
D08ROP,Arthritis [ICD-11: FA20],Approved,D00208
D08ROP,Multiple sclerosis [ICD-11: 8A40],Approved,D00208
D0C1WH,Hormonally-responsive breast cancer [ICD-11: 2C60-2C65],Approved,D00209
D02KOF,Bacterial infection [ICD-11: 1A00-1C4Z],Approved,D00210
D06ABF,Allergy [ICD-11: 4A80-4A85],Approved,D00211
D06ABF,Allergic rhinitis [ICD-11: CA08.0],Discontinued in Phase 2,D00211
D0E0OG,Anxiety disorder [ICD-11: 6B00-6B0Z],Approved,D00212
D0DD0K,Hypertension [ICD-11: BA00-BA04],Approved,D00213
