FHDI_Herb_ID,Herb_Latin_Name,Herb_English_Name,Herb_Pinyin_Name,Herb_Chinese_Name,Properties,Meridians ,Use_Part,Function ,Indication,Toxicity ,Therapeutic_Class,Therapeutic _Class_Chinese,HERB_ID,SymMap_ID,NPASS_ID,Taxonomy_ID,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Drug homologous food
H00001,Acacia nilotica,Gum-arabic Tree,A LA BO JIAO JIN HE HUAN,阿拉伯胶金合欢,NA,NA,NA,NA,NA,NA,NA,NA,HERB000018,NA,NPO30143,138033,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Vachellia,NA
H00002,Acacia arabica,Arabian Acacia,A LA BO JIN HE HUAN,阿拉伯金合欢,NA,NA,NA,NA,NA,NA,NA,NA,HERB000019,NA,NPO7352,658885,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,NA
H00004,Ferula assa-foetida,Asafetida Giantfennel Resin,A WEI,阿魏,Warm; Pungent; Bitter,Spleen; Stomach; Liver,balsam,"To transform concretion and disperse accumulation, kill worms, interrupt malaria.","Concretion and conglomeration, lump glomus, worm accumulation, meat-type food accumulation, cold pain in heart and abdomen, malaria, dysentery.",NA,Food digestion,消食,HERB000029,NA,NPO3083,52471,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Ferula,NA
H00005,Ardisiae japonicae,Japanese Ardisia Herb,AI DI CHA,矮地茶,Mild; Pungent; Bitter,Lung; Liver,NA,1. To eliminate phlegm and relieving cough.2. To promote diuresis to deprive dampness. 3. To activate blood circulation and stop bleeding.,"1. Bergenin, an active comonent, is an expectorant. 2. Its volatile oil or flavone can relieve bronchospasm induced by histamine in vitro. 3. Its decoction inhibits the growth of Pneumococcus, Staphylococcus aureus and influenza virus in vitro.",NA,Antitussive Antiasthmetics,止咳平喘药,HERB000036,1,NPO28777,276775,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ericales,Primulaceae,Ardisia,NA
H00006,Ephedra minuta,Small Ephedra,AI MA HUANG,艾麻黄,NA,NA,herbaceous twigs,See Ephedra sinica.,See Ephedra sinica.,NA,NA,NA,HERB000049,NA,NPO18715,173279,Eukaryota,Viridiplantae,Streptophyta,Gnetopsida,Ephedrales,Ephedraceae,Ephedra,NA
H00007,Folium Artemisiae Argyi,leaf of Argy Wormwood,AI YE,艾叶,Warm; Pungent; Bitter,Spleen; Liver; Kidney,leaf,1. To warm the channels and stop bleeding. 2. To dispel cold and stop pain,"Cold pain in abdomen, menstrual disorder due to cold, infertility due to uterus cold, blood ejection, spontaneous external bleeding, flooding and spotting, fetal spotting, itchy skin.",NA,Channel-Warming Hemostatic,温经止血药,HERB000066,2,NA,259893,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,NA
H00008,Phyllanthus emblica,Emblic Leafflower,AN MO LE,庵摩勒,NA,NA,fruit,"To relieve cough and transform phlegm, engender liquid and allay thirst, resolve toxin.","Common cold with fever, cough, throat pain, diphtheria, enteritis, diarrhea, eczema, heat vexation and thirst.",NA,NA,NA,HERB000087,NA,NPO28450,296036,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malpighiales,Phyllanthaceae,Phyllanthus,NA
H00009,Benzoinum,Benzoin,AN XI XIANG,安息香,Mild; Pungent; Bitter,Spleen; Heart,balsam,To restore consciousness. To activate the flow of qi and blood. To relieve pain.,"Sudden stroke and fulminant reversal, pain in heart and abdomen, postpartum blood dizziness, child fright epilepsy, wind impediment and lumbago.",NA,Resuscitative Stimulant; Resuscitative Medicinal,开窍药,HERB000090,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00010,Eucalyptus globulus,Eucalyptus Oil,AN YOU,按油,NA,NA,Eucalyptus globulus Labill.;Cinnamomum camphora (L.) Sieb.,Skin irritant. Used in nerval pain.,Skin irritant. Used in nerval pain.,NA,NA,NA,HERB000092,NA,NPO3730,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00011,Magnolia biloba,Twolobed Officinal Mangolia,AO YE HOU PO,凹叶厚朴,NA,NA,bark,See Magnolia officinalis .,See Magnolia officinalis.,NA,NA,NA,HERB000117,NA,NPO17566,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00012,Croton tiglium L.,Fructus Crotonis,BA DOU,巴豆,Hot; Pungent,Large Intestine; Stomach,Dried seed,1. To drain accumulated cold downward; 2. To transform water and reduce edema; 3. To resolve phlegm and benefit throat,"Distention fullness and sudden pain in chest and a bdomen, fecal stoppage, diarrhea and dysentery, edema and enlarged abdomen, phlegm-rheum asthma fullness, throat wind, throat impediment, concretion and conglomeration, welling abscess and flat abscess, malign sore and scab lichen.",Extremely Toxic,Offensive Purgative Medicinal,攻下药,HERB000129,6,NA,497687,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Croton,NA
H00013,Radix Morindae officinalis,root of Morinda officinalis,BA JI,巴戟,Minor Warm; Pungent; Sweet,Kidney,Morinda officinalis How,"1. Treatment of deficient kidney yang manifested as soreness and weakness in the lower back and knees, impotence, premature ejaculation, infertility, frigidity, irregular menstruation, and cold sensation and pain in the lower abdomen. a) Morinda root (Bajitian) is used with Ginseng (Renshen), Cistanche (Roucongrong) and Dadder seed (Tusizi) for impotence, premature ejaculation and infertility, b) Morinda root (Bajitian) is used with Teasel root (Xuduan) and Eucommia bark (Duzhong) for soreness and weakness in lower back and knees, c) Morinda root (Bajitian) is used with Cinnamon bark (Rougui), Galangal rhizome (Gaoliangjiang) and Evodia fruit (Wuzhuyu) for irregular menstruation. 2. Morinda root (Bajitian) is used with Teasel root (Xuduan), Mulberry mistletoe (Sangjisheng) and Hypoglauca yam (Bixie) for cold sensation and pain in the lumbar region and knees or motor impairment.","Treatment of impotence, seminal emission, infertility menstrual disorders, pain and cold feeling in the lower abdomen; rheumatic arthralgia; limpness of the legs.",NA,For tonifying weakness,补虚,HERB000133,NA,NA,266091,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Gentianales,Rubiaceae,Gynochthodes,NA
H00014,NA,Morindae Officilis Radix,BA JI TIAN,巴戟天,NA,NA,root,NA,"Neurasthenia, impotence and emission, cold pain in abdomen, urinary incontinence, vacuity cold of uterus, wind-cold-damp impediment, aching in lumbus and knees.",NA,Yang Reinforcing Drugs,补阳药,HERB000134,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00015,Fructus Anisi Stellati,Chinese Star Anise,BA JIAO HUI XIANG,八角茴香,Warm; Pungent,Spleen; Stomach; Liver; Kidney,NA,To dispel cold to regulate the flow of qi and to relieve pain.,"Treatment of abdominal colic, lumbago due to deficiency of the kidney, vomiting and eqigastric pain due to cold of the stomach.",NA,Warming Interior Drugs,温里药,HERB000137,4,NPO1983,NA,NA,NA,NA,NA,NA,NA,NA,The herb belongs to a list of traditional Chinese medicines published by China's National Health Commission as both food and medicine
H00016,Dysosma versipellis,Dysosmae Verspiellis Rhixoma Et Radix,BA JIAO LIAN,八角莲,NA,NA,NA,NA,NA,NA,Antipyretic Detoxicate Drugs,清热解毒药,HERB000139,5,NPO17807,93611,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ranunculales,Berberidaceae,Dysosma,NA
H00017,Ilex paraguariensis,Paraguay Tea,BA LA GUI CHA,巴拉圭茶,NA,NA,leaf,"To clear heat and resolve toxin, eliminate inflammation, suppress cough and dispel phlegm, promote contraction, disinhibit urine, free stool, induce sweat[5509].","Rheumatis, scurvy, heart disease, stomach disease, diabetes[5509].",NA,NA,NA,HERB000140,NA,NPO26571,185542,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Aquifoliales,Aquifoliaceae,Ilex,NA
H00018,Paullinia cupana,Guarana,BA XI XIANG WU HUAN ZI,巴西香无患子,NA,NA,NA,NA,NA,NA,NA,NA,HERB000152,NA,NPO21254,392747,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Paullinia,NA
H00019,Galium aparine,Catchweed Bedstraw,BA XIAN CAO,八仙草,NA,NA,herb,"To clear damp heat, dissipate stasis, disperse swelling, resolve toxin.","Strangury-turbidity, hematuria, knocks and falls, intestinal welling abscess, swollen boil, otitis media.",NA,NA,NA,HERB000156,NA,NPO15788,29788,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Gentianales,Rubiaceae,Galium,NA
H00020,Semen Lablab Album,White Hyacinth Bean,BAI BIAN DOU,白扁豆,Minor Warm; Sweet,Spleen; Stomach,NA,"To invigorate the spleen and remove damp, paticularly the summer damp.Semen Lablab Album (stir-fried) To invigorate the spleen and remove damp.","Treatment of weakness of the spleen and stomach with loss of appetite and loose bowels, excessive leukorrhea, vomiting, diarrhea, distress in the chest and distension in the abdomen caused by summer-damp.Semen Lablab Album (stir-fried) Diarrhea and excess",NA,Qi Reinforcing Drugs,补气药,HERB000161,9,NPO11009,NA,NA,NA,NA,NA,NA,NA,NA,The herb belongs to a list of traditional Chinese medicines published by China's National Health Commission as both food and medicine
H00021,Acorus calamus,Drug Sweetflag,BAI CHANG,白鲳,NA,NA,rhizome,"To transform phlegm and open orifices, dispel damp and fortify stomach, kill worms and relieve itch.","Stupor due to phlegm reversal, wind stroke, epilepsy, fright palpitation and amnesia, tinnitus and deafness, food accumulation abdominal pain, diarrhea and dysentery, wind-damp pain, eczema, scab sore.",NA,NA,NA,HERB000164,NA,NPO25682,4465,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Acorales,Acoraceae,Acorus,NA
H00022,Nitraria tangutorum,Nitraria,BAI CI,白刺,NA,NA,fruit,"To fortify spleen and assisting movement, promote lactation, quiet spirit.","Reduced food intake due to spleen vacuity, indigestion, scant breast milk, neurasthenia.",NA,NA,NA,HERB000166,NA,NPO13459,357929,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Sapindales,Nitrariaceae,Nitraria,NA
H00023,Sophora viciifolia,Vetchleaf Sophora,BAI CI HUA,白刺花,NA,NA,root,"To clear heat and disinhibit throat, cool blood and disperse swelling.","Swelling pain in throat, cough, hepatitis, dysentery, strangury syndrome, edema, hematuria, nosebleed(epistaxis), hematochezia.",NA,NA,NA,HERB000168,NA,NPO26788,1196212,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Sophora,NA
H00024,Rhizoma Typhonii,rhizome of Giant Typhonium,BAI FU ZI,白附子,Warm; Pungent; Sweet,Stomach; Liver,NA,"To dispel wind-phlegm, to check convulsions, and to counteract toxicity, promote subsidence of modulation and relieve pain.","Treatment of stroke with gurgling in the throat, deviation of the eye and the mouth, and impairment of speech, upward invasion of phlegm causing headache accompanied with dizziness, heaviness of the body, restlessness, fidgetness, nausea and cold extremit",Toxic,Phlegresolving Medicine,化痰药,HERB000182,10,NA,227256,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Sauromatum,NA
H00025,Semen Ginkgo,Ginkgo seed,BAI GUO,白果,Mild; Sweet; Bitter; Punkery,Lung,nut,1. To strengthen lung qi and soothe asthma; 2. To relieve leukorrhea,"AD syndrome, primary degenerative dementia of Alzheimer disease, multi-infarct dementia, improving cognitive function in elderly dementia patients, stable intermittent claudication, cerebrovascular insufficiency diseases, cough with profuse phlegm, vaginal discharge, enuresis and frequent urination.",Toxic,Antitussive Antiasthmetics,止咳平喘药,HERB000186,11,NA,3310,Eukaryota,Viridiplantae,Streptophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,No Rank at Level Genus,The herb belongs to a list of traditional Chinese medicines published by China's National Health Commission as both food and medicine
H00026,Lithospermum officinale,Common Gromwell,BAI GUO ZI CAO,白果紫草,NA,NA,whole herb,To resolve toxin and disperse swelling.,Arthritis.,NA,NA,NA,HERB000190,NA,NPO8642,475907,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Boraginales,Boraginaceae,Lithospermum,NA
H00027,Bulbus Lilii,Bulb of Greenish Lily,BAI HE,百合,Minor cold; Sweet,Heart,bulb,"To nourish yin and moisten the lung, and to tranquilize the mind.","Yin vacuity enduring cough, phlegm containing blood, fright palpitation and vacuity vexation, insomnia and frequent dreaming, trance.",NA,Yin-Tonifying Medicinal,补阴药,HERB000192,29,NPO23082,NA,NA,NA,NA,NA,NA,NA,NA,"The herb belongs to a list of traditional Chinese medicines published by China's National Health Commission as both food and medicine. Bulbus Lilii, a traditional Chinese medicine name. The dry fleshy scales of Lilium lancifolium Ker Gawl. or Lilium pumilum Redout é in the lily family. It has the effect of nourishing yin and moistening the lungs, clearing the heart and calming the mind. Lily is commonly used to treat Yin deficiency, dry cough, cough and blood, restlessness, palpitations, insomnia, and drowsiness."
H00028,Cleome gynandra L.,Semen Cleomis,BAI HUA CAI ZI,白花菜子,NA,NA,NA,NA,"Wind-cold sinew and bone numbness, aching pain in back and shoulder, lumbago, swelling pain due to external injury, bone tuberculosis, hemorrhoids and fistulas.",NA,Wind-Dampnessdispelling And Colddispersing Medicinal,祛风湿散寒药,HERB000197,12,NA,190802,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Brassicales,Cleomaceae,Gynandropsis,NA
H00029,Plumbago zeylanica,Whiteflower Leadword,BAI HUA DAN,白花丹,NA,NA,whole herb and root,"To dispel wind and eliminate damp, move qi and quicken blood, resolve toxin and disperse swelling.","Wind-damp impediment pain, liver spleen enlargement, amenorrhea due to blood stasis, sprain from knocks and falls, swollen welling abscess and scrofula, scab and lichen with itching, poisonous snake bite.",NA,NA,NA,HERB000198,NA,NPO13608,76149,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Plumbaginaceae,Plumbago,NA
H00030,Salvia miltiorrhiza f. alba,Whiteflower Danshen,BAI HUA DAN SHEN,白花丹参,NA,NA,root,See Salvia miltiorrhiza .,See Salvia miltiorrhiza.,NA,NA,NA,HERB000199,NA,NA,424422,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,NA
H00031,NA,Radix Salviae Przewalskii Albae,BAI HUA GAN XI SHU WEI CAO,白花甘西鼠尾草,NA,NA,NA,NA,NA,NA,NA,NA,HERB000201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00032,Peucedanum praeruptorum,Whiteflower Hogfennel,BAI HUA QIAN HU,白花前胡,NA,NA,root,See Angelica decursiva .,See Angelica decursiva.,NA,NA,NA,HERB000205,NA,NPO4340,312531,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Kitagawia,NA
H00033,Herba Hedyotis Diffusae,all - grass of Spreading Hedyotis,BAI HUA SHE SHE CAO,白花蛇舌草,Cold; Sweet; Slightly Bitter,Large Intestine; Stomach; Small Intestine,whole herb with root,"1. To eliminate heat and toxic material, promote blood circulation and remove blood stasis. 2. To clear dampness-heat.","Lung heat cough asthma, swelling pain in throat, intestinal welling abscess, swelling of sores and boils, poisonous snake bite, heat strangury with inhibited pain, edema, dysentery, enteritis, damp-heat jaundice, carcinoma.",NA,Antipyretic Detoxicate Drugs,清热解毒药,HERB000208,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00034,NA,NA,BAI HUA SHUI FEI JI,白花水飞蓟,NA,NA,NA,NA,NA,NA,NA,NA,HERB000209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00035,Patrinia villosa,Whiteflower Patrinia Equivalent plant: Patrinia scabiosaefolia,BAI JIANG,败酱,NA,NA,whole herb,"To clear heat and resolve toxin, expel pus and break stasis.","Intestinal welling abscess, dysentery, red and white vaginal discharge, postpartum blood stasis abdominal pain, red eyes with gall, swollen welling abscess, scab and lichen.",NA,NA,NA,HERB000219,NA,NPO9090,183944,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Patrinia,NA
H00036,Herba Patriniae,All - grass of Dahurian Patrinia,BAI JIANG CAO,败酱草,Minor cold; Pungent; Bitter,Large Intestine; Stomach; Liver,NA,"1. To eliminate heat and toxic material, relieve abscess and promote pus drainage. 2. To remove blood stasis and alleviate pain","1. Two active components, patrinene and isopatrinene, possess sedative effect. 2. To promote regeneration of hepatic cells and portal circulation, protect hepatic cells from degernation and improve hepatic function.",NA,Antipyretic Detoxicate Drugs,清热解毒药,HERB000221,31,NPO9002,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00037,NA,Chrysanthemum morifoliumRamat,BAI JU HUA GEN,白菊花根,NA,NA,NA,NA,NA,NA,NA,NA,HERB000227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00038,Veratrum album,White Falsehellebore,BAI LI LU,白藜芦醇,NA,NA,NA,NA,NA,NA,NA,NA,HERB000232,NA,NPO27267,50243,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Liliales,Melanthiaceae,Veratrum,NA
H00039,Thymus serpyllum,Breckland Thyme,BAI LI XIANG,百里香 ,NA,NA,NA,NA,NA,NA,NA,NA,HERB000233,NA,NPO4995,204219,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Thymus,NA
H00040,Radix Ampelopsis,root of Japanese Ampelopsis ,BAI LIAN,白蔹,Minor cold; Pungent; Bitter,Stomach; Heart,tuberoid,"To remove toxic heat, to cure carbuncles, and to reduce nodules.","Swelling toxin of sore and welling abscess, burns and scalds, scrofula, damp sore, warm malaria, frightepilepsy, blood dysentery, intestinal wind, hemorrhoids and fistulas, leukorrhea, knocks and falls, bleeding due to external injury.",NA,Antipyretic Detoxicate Drugs,清热解毒药,HERB000237,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00041,NA,Fructus Ampelopsis japponicae,BAI LIAN ZI,白蔹子,NA,NA,NA,NA,NA,NA,NA,NA,HERB000238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00042,Herba Serissae,all - grass of Snow of June.,BAI MA GU,白马骨,Cool; Pungent; Bitter,Spleen; Liver,Serissa serissoides (DC.) Druce.,NA,NA,NA,NA,NA,HERB000241,NA,NPO22587,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00043,Imperata cylindrica var. major,Lalang Grass Rhizome,BAI MAO GEN(1),白茅根,NA,NA,rhizome,"To cool blood and stanch bleeding, clear heat and engender liquid, disinhibit urine and free strangury.","Acute nephritis with edema, acute glomerulonephritis, chronic glomerulonephritis, acute hepatitis, blood ejection due to blood heat, spontaneous external bleeding, hematuria, febrile diseases with vexation and thirst, jaundice, edema, heat strangury with inhibited pain, measles papules.",NA,NA,NA,HERB000244,NA,NPO23628.1,294751,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Imperata,The herb belongs to a list of traditional Chinese medicines published by China's National Health Commission as both food and medicine
H00044,Hydrastis canadensis,Goldenseal,BAI MAO GEN(4),白茅根,NA,NA,NA,NA,NA,NA,NA,NA,HERB000245,NA,NPO1074,13569,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Hydrastis,The herb belongs to a list of traditional Chinese medicines published by China's National Health Commission as both food and medicine
H00045,NA,Herba Solani Lyrati,BAI MAO TENG,白毛藤,NA,NA,NA,NA,"Malaria, jaundice, edema, strangury, pain in joints due to rheumatalgia, erysipelas, clove sore.",NA,Antipyretic Detoxicate Drugs,清热解毒药,HERB000246,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00046,Herha Ajugae Ciliatae,all - grass of Decumbent Bugle,BAI MAO XIA KU CAO,白毛夏枯草,NA,NA,whole herb,"1. To clear lung-heat, eliminate phlegm and relieve cough. 2. to clear away heat and toxic material, and relieve carbuncle.  3. Clear away heat to cool the blood. 4. Lower blood pressure.","Swelling pain in throat, lung heat cough, pulmonary welling abscess, red eyes with gall, dysentery, swollen welling abscess and clove sores, poisonous snake bite, knocks and falls.",NA,Antipyretic Detoxicate Drugs,清热解毒药,HERB000247,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00047,Prunus mume,Japanese Apricot Flower,BAI MEI HUA,白梅花,NA,NA,bud,"To soothe liver, harmonize stomach and transform phlegm.","Globus hystericus, liver stomach qi pain, inappetence, dizziness, scrofula.",NA,NA,NA,HERB000249,NA,NPO28679,102107,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,NA
H00048,Aquilaria sinensis,Chinese Eaglewood,BAI MU XIANG,白木香,NA,NA,resinous wood,See Aquilaria agallocha.,See Aquilaria agallocha .,NA,NA,NA,HERB000253,NA,NPO14558,210372,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malvales,Thymelaeaceae,Aquilaria,NA
H00049,NA,Chelidonii Herba,BAI QU CAI,白屈菜,NA,NA,whole herb,NA,"Pain in sensory nerve endings, pain from ulcer in digestive tract, stomachache, abdominal pain, enteritis, dysentery, chronic bronchitis, pertussis, cough, jaundice, edema, ascites, scab and lichen with swelling of sores, snake or insect bites.",NA,Antitussive Antiasthmetics,止咳平喘药,HERB000259,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00050,Thesium chinense,Chinese Bastardtoadflax,BAI RUI CAO,百蕊草,NA,NA,whole herb,"To clear heat, disinhibit damp, resolve toxin.","Wind-heat common cold, summerheat stroke, pulmonary welling abscess, nipple moth, scrofula, mammary welling abscess, swollen boil, strangury syndrome, jaundice, lumbago, emission.",NA,NA,NA,HERB000264,NA,NPO1218,210367,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Santalales,Thesiaceae,Thesium,NA
H00051,Radix Paeoniae Alba,White peony root,BAI SHAO,白芍,Minor cold; Sour; Bitter,Spleen; Liver,root,1. To nourish blood and consolidate the yin; 2. To pacify the liver and stop pain; 3. To soothe liver yang,"Headache and dizziness, pain in rib-side, abdominal pain, spasm in limbs, anemia with yellow complexion, menstrual disorder, profuse menstruation, spontaneous sweating, night sweating.",NA,Blood-Tonifying Medicinal,补血药,HERB000267,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00052,Radix Pulsatillae,Root of Chinese Pulsatilla,BAI TOU WENG,白头翁,Cold; Bitter,Large Intestine; Stomach; Liver,root,1. To clear heat and release toxins; 2. To cool the blood and stop dysentery,"Amebic dysentery, nosebleed, flooding and spotting, bleeding from hemorrhoids, cold-heat warm malaria, vaginal discharge, pudendal itch, eczema, scrofula, welling abscess, painful red eyes, neurodermatitis.",NA,Antipyretic Detoxicate Drugs,清热解毒药,HERB000281,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00053,NA,Dictamni Cortex,BAI XIAN PI,白鲜皮,NA,NA,NA,NA,"1. Inhibiting the growth of pathogenic fungi. 2. Its infusion lowers vaccine-induced fever in rabbits. 3. Dictamnine, one of its active components, increase the myocardial tone of frogs.",NA,Heat-Clearing And Dampnessdrying Medicinal,清热燥湿药,HERB000286,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00055,NA,Radix Stephaniae Cepharanthae.,BAI YAO ZI,白药子,NA,NA,tuberoid,NA,"Septicemia, acute hepatitis, bacillary dysentery, parotitis, neurodermatitis, swelling pain in throat, heat toxin swollen welling abscess, wind-damp impediment pain, abdominal pain and diarrhea, blood ejection, bleeding, spontaneous external bleeding, bleeding due to external injury.",NA,Antipyretic Detoxicate Drugs,清热解毒药,HERB000293,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00056,NA,Rubus innominatus S. Moore var. kuntzeanus (Hemsl.,BAI YE MEI,白叶莓,NA,NA,NA,NA,NA,NA,NA,NA,HERB000296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00057,Radix Angelicae Dahuricae,Dahurian Angelica Root,BAI ZHI,白芷,Warm; Pungent,NA,root,"To dispel wind, to remove damp, to clear the stuffed nose, to relieve pain, and to promote the subsidence ofswelling and drainage of pus.","Wind-cold common cold, nasal congestion, headache (especially in forehead and superciliary region), toothache, infections, acute mastitis, sores, excessive leukorrhea, stomachache.",NA,Pungent-Warm Exterior-Releasing Medicinal,辛温解表药,HERB000305,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,The herb belongs to a list of traditional Chinese medicines published by China's National Health Commission as both food and medicine
H00058,Semen Biotae,seed of Chinese Arborvitae,BAI ZI REN,柏子仁,Mild; Sweet,Large Intestine; Heart; Kidney,kernel,"To calm the nerves, to check excessive perspiration, and to relax the bowels.","Fright palpitation and fearful throbbing, sleepless and amnesia, night sweating, intestinal dry and constipation.",NA,Tranguilizing Medicinal,安神药,HERB000311,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00059,Herba Lobeliae Chinensis,Chinese Lobelia Herb,BAN BIAN LIAN,半边莲,NA,NA,whole herb,"To cause diuresis, and to remove toxic heat.","Edema, edema and enlarged abdomen, edema in face and foot, swollen welling abscess and clove sores, snake or insect bites.",NA,Antipyretic Detoxicate Drugs,清热解毒药,HERB000312,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00060,Radix Isatidis seu Baphicacanthi,Root of Dyers Woad.,BAN LAN GEN,板蓝根,Cold; Bitter,Stomach; Heart,root,"To remove toxic heat, to reduce heat in blood, and to soothe sore throat.","Epidemic encephalitis, measles papulis, parotitis, influenza, warm toxin macular eruption, ardent fever with headache, massive head scourge, throat pain, maculopapular eruption, epidemic parotitis, erysipelas, hepatitis, swelling toxin of sore and welling abscess.",NA,Antipyretic Detoxicate Drugs,清热解毒药,HERB000323,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00061,Thalictrum petaloideum,Petalformed Meadowrue,BAN RUI TANG SONG CAO,瓣蕊唐松草,NA,NA,root and rhizome,"To clear heat, dry damp, resolve toxin.","Damp-heat diarrhea dysentery, jaundice, lung heat cough, red eyes with gall, swelling welling abscess and sore and boil, exudative dermatitis",NA,NA,NA,HERB000327,NA,NPO16640,1084684,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Thalictrum,NA
H00062,Aloe vera var. chinensis,Chinese Aloe Dried Juice,BAN WEN LU HUI,斑纹芦荟,NA,NA,solid residue obtained by evaporating liquid which drains from leaves,See Aloe vera .,See Aloe vera .,NA,NA,NA,HERB000329,NA,NPO11578.1,590718,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asparagales,Asphodelaceae,Aloe,NA
H00063,Rhizoma Pinelliae,tuber of Pinellia,BAN XIA,半夏,Warm; Pungent,Lung; Spleen; Stomach,tuber,"To remove damp and phlegm, to relieve nausea and vomiting, and to eliminate stuffiness in the chest and the epigastrium.","Cough and asthma with abundant phlegm, vomiting nausea, glomus in chest, dizziness, headache, vexation and agitation in night, goiters with phlegm node, swelling toxin of welling abscess and flat abscess.",Extremely Toxic,Phlegresolving Medicine,化痰药,HERB000330,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00064,Herba Scutellariae barbatae,all - grass of Barbed Skullcap,BAN ZHI LIAN,半枝莲,Cold; Pungent; Slightly Bitter,Lung; Liver; Kidney,whole herb,"To remove toxic heat, and to cause diuresis.","Heat toxin swollen welling abscess, throat pain, pulmonary welling abscess, intestinal welling abscess, scrofula, poisonous snake bite, knocks and falls, blood ejection, spontaneous external bleeding, blood strangury, edema, ascites, carcinoma.",NA,Antipyretic Detoxicate Drugs,清热解毒药,HERB000338,36,NA,396367,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Scutellaria,NA
