FHDI_Herb_ID,Herb_Latin_Name,Herb_English_Name,Herb_Pinyin_Name,Herb_Chinese_Name,Properties,Meridians ,Use_Part,Function ,Indication,Toxicity ,Therapeutic_Class,Therapeutic _Class_Chinese,HERB_ID,SymMap_ID,NPASS_ID,Taxonomy_ID,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Drug homologous food
H00974,Herba Artemisiae Scopariae,Virgate Wormwood Herb,YIN CHEN,茵陈,Cool; Pungent; Bitter,Bladder; Spleen; Liver,NA,To remove damp-heat and relieve jaundice.,"1. Its decoction or its volatile oil, and active components such as chlorogenic acid, caffeic acid and hydroxyacetophenone are chologogues.2. Protecting the liver of experimental animals from the damage of CCl4.3. Decreasing the level of blood lipids and alleviating artherosclerosis and lipidosis in rabbits.4. Increasing the coronary flow of rabbits in vitro.5. Its volatile oil inhibits the growth of Shigella dysenteriae, Hemolytic streptococcus and various dermatomyces in vitro.6. Anticoagulative.",NA,Diuretic Dampness Excreting Drugs,利水渗湿药,HERB006586,459,NPO9394,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00975,Rauwolfia serpentina,Java Devilpepper,YIN DU LUO FU MU,印度萝芙木,NA,NA,"root, stem-leaf",To lower blood pressure.,Hypertension.,NA,NA,NA,HERB006601,NA,NPO32758,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00976,Siphonostegia chinensis,Chinese Siphonostegia,YIN XING CAO,阴行草,Bitter; warm,Heart; spleen,whole herb,"To clear heat and disinhibit damp, quicken blood and dispel stasis.","Jaundice, inhibited urination, abdominal distention with edema, stasis pain from knocks and falls, blood dysentery, blood strangury, vaginal discharge, menstrual disorder, concretion conglomeration accumulation and gathering, postpartum abdomin al pain.",NA,Blood activation and stasis removal,活血化淤,HERB006631,NA,NPO12755,374729,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Orobanchaceae,Siphonostegia,NA
H00977,Rhododendron mucronulatum,Korean Rhododendron,YING SHAN HONG,迎山红,NA,NA,leaf,"To resolve exterior, relieve cough and transform phlegm.","Common cold, cough and asthma, abundant phlegm.",NA,NA,NA,HERB006650,NA,NPO17759,105903,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ericales,Ericaceae,Rhododendron,NA
H00978,Papaver somniferum,Opium Poppy,YING SU,罂粟,NA,NA,seed,"To fortify spleen and promote digestion, clear heat and disinhibit urine.","Stomach reflux, abdominal pain, diarrhea, prolapse of rectum.",NA,NA,NA,HERB006652,NA,NPO9498,3469,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ranunculales,Papaveraceae,Papaver,NA
H00979,pericarpium papaveris,poppy capsule,YING SU KE,罂粟壳,Mild; Sour; Punkery,Lung; Large Intestine; Kidney,capsule,"1. Astringe the intestine, relieve diarrhea and alleviate pain. 2. Astringe the lung and relieve cough.","Enduring cough, chronic diarrhea, prolapse of rectum, pain in stomach duct and abdomen.",NA,Astringent Medicinal,收涩药,HERB006653,463,NPO21934,3469,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ranunculales,Papaveraceae,Papaver,NA
H00980,NA,Flos Citri grandis,YOU HUA,柚花,NA,NA,NA,NA,NA,NA,NA,NA,HERB006686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00981,Ardisia colorata,Colorate Ardisia,YOU SE ZI JIN NIU,有色紫金牛,NA,NA,NA,NA,NA,NA,NA,NA,HERB006694,NA,NPO31008,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00982,Astragalus oleifolius,Oily-leaf Milkvetch,YOU YE HUANG QI,优野黄秋葵,NA,NA,NA,NA,NA,NA,NA,NA,HERB006698,NA,NPO7580,144133,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Astragalus,NA
H00983,Fructus Phyllanthi,Emblic Leafflower Fruit,YU GAN ZI,余甘子,Cool; Sweet; Sour; Punkery,Lung; Stomach,NA,"To remove heat from blood, to promote digestion and the production of body fluid, and to relieve cough.","Treatment of heat in the blood and blood stasis, liver and gall bladder diseases, dyspepsia, abdominal pain, cough, sore throat, dryness of the mouth.",NA,Antipyretic Detoxicate Drugs,清热解毒药,HERB006714,464,NPO11632,NA,NA,NA,NA,NA,NA,NA,NA,"Yu ganzi is recorded in books throughout Chinese history and can be used as a medicine in the ""Compendium of Materia Medica"". It can produce saliva and quench thirst, moisten the lungs and dissolve phlegm, treat cough and sore throat, and relieve river dolphin poisoning."
H00984,Semen Pruni,Chinese Dwarf Cherry Seed,YU LI REN,郁李仁,Pungent;  bitter; neutral,Small intestine; large intestine,ripe seed,"To relax the bowels, and to cause diuresis.","Desiccation of liquid and intestine dryness, food accumulation and qi stagnation, abdominal distention and constipation, edema, beriberi, inhibited urination.",NA,Laxatives,润下药,HERB006725,470,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yu Liren is harvested in summer and autumn and dried in the sun. It has a mild nature, a bitter and sweet taste, and has the effects of moistening the lungs and smoothing the intestines, lowering qi and promoting diuresis. It can treat symptoms such as large intestine qi stagnation, dryness and astringency, poor urination, abdominal edema, limb edema, and athlete's foot."
H00985,Limonitum,Limonite,YU LIANG SHI,禹粮石,Mild; Sweet; Punkery,Spleen; Large Intestine; Stomach,NA,"Treatment of chronic diarrhea, chronic dysentery, abnormal uterine bleeding, morbid leukorrhea.","Treatment of chronic diarrhea, chronic dysentery, abnormal uterine bleeding, morbid leukorrhea.",NA,Astriction,收涩,HERB006726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00986,Stigma Maydis,Corn stigma,YU MI XU,玉米须,NA,NA,style and stigma,1. To promote diuresis to relieve edema. 2. To promote choleresis and relieve jaundice. 3. To lower blood pressure. 4. To lower blood sugar level. 5. To stop bleeding. ,"Edema, dribbling urination, jaundice, cholecystitis, gallstones, hypertension, diabetes mellitus, galactostasis.",NA,Diuretic Dampness Excreting Drugs,利水渗湿药,HERB006733,467,NA,4577,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Zea,"Corn stigma, a traditional Chinese medicine name. The style and stigma of Zea mays L., a plant in the Poaceae family. Produced in most parts of the country. Collect fruits in summer and autumn when they are ripe and remove impurities. Fresh or sun dried raw. It is located at the top of the corn."
