Gate Threshold,Accuracy (%),Macro F1 (%),Weighted F1 (%),Avoid Precision (%),Avoid Recall (%),Avoid F1 (%),No-known Precision (%),No-known Recall (%),No-known F1 (%),False-safe Count,Risky True Count,False-safe Rate (%)
,89.11,31.41,83.98,0.0,0.0,0.0,0.0,0.0,0.0,0,2419,0.0
,91.86,74.01,92.21,65.22,55.56,60.0,58.58,77.02,66.54,128,2419,5.29
,91.52,71.73,91.34,86.67,48.15,61.9,58.44,57.45,57.94,96,2419,3.97
0.6,91.67,68.6,90.65,86.67,48.15,61.9,65.69,38.3,48.39,47,2419,1.94
0.7,90.99,61.57,88.55,86.67,48.15,61.9,72.73,17.02,27.59,15,2419,0.62
