model_name,false_safe_count,risky_true_count,false_safe_rate,confusion_matrix_csv,confusion_matrix_png,all_predictions_csv,false_safe_cases_csv
Balanced AI baseline - TFIDF LinearSVC,128,2419,0.05291442744935924,MediFoodShield/results/confusion_matrix_balanced_ai_baseline_tfidf_linearsvc.csv,MediFoodShield/results/confusion_matrix_balanced_ai_baseline_tfidf_linearsvc.png,MediFoodShield/results/test_predictions_balanced_ai_baseline_tfidf_linearsvc.csv,MediFoodShield/results/false_safe_cases_balanced_ai_baseline_tfidf_linearsvc.csv
Calibrated balanced mode - TFIDF LinearSVC,96,2419,0.03968582058701943,MediFoodShield/results/confusion_matrix_calibrated_balanced_mode_tfidf_linearsvc.csv,MediFoodShield/results/confusion_matrix_calibrated_balanced_mode_tfidf_linearsvc.png,MediFoodShield/results/test_predictions_calibrated_balanced_mode_tfidf_linearsvc.csv,MediFoodShield/results/false_safe_cases_calibrated_balanced_mode_tfidf_linearsvc.csv
MedSafe-GATE v1 balanced-safety mode threshold 0.6,47,2419,0.019429516329061595,MediFoodShield/results/confusion_matrix_medsafe_gate_v1_balanced_safety_mode_threshold_0_6.csv,MediFoodShield/results/confusion_matrix_medsafe_gate_v1_balanced_safety_mode_threshold_0_6.png,MediFoodShield/results/test_predictions_medsafe_gate_v1_balanced_safety_mode_threshold_0_6.csv,MediFoodShield/results/false_safe_cases_medsafe_gate_v1_balanced_safety_mode_threshold_0_6.csv
MedSafe-GATE v1 strict-screening mode threshold 0.7,15,2419,0.0062009094667217855,MediFoodShield/results/confusion_matrix_medsafe_gate_v1_strict_screening_mode_threshold_0_7.csv,MediFoodShield/results/confusion_matrix_medsafe_gate_v1_strict_screening_mode_threshold_0_7.png,MediFoodShield/results/test_predictions_medsafe_gate_v1_strict_screening_mode_threshold_0_7.csv,MediFoodShield/results/false_safe_cases_medsafe_gate_v1_strict_screening_mode_threshold_0_7.csv
