model,accuracy,macro_f1,weighted_f1,avoid_precision,avoid_recall,avoid_f1,caution_precision,caution_recall,caution_f1,no_known_precision,no_known_recall,no_known_f1,false_safe_count,risky_true_count,false_safe_rate,avoid_false_safe_rate,caution_false_safe_rate
Majority baseline [VAL],0.8911077618688772,0.31413960284253173,0.8397967152101593,0.0,0.0,0.0,0.8911077618688772,1.0,0.9424188085275952,0.0,0.0,0.0,0,2419,0.0,0.0,0.0
Majority baseline [TEST],0.8911077618688772,0.31413960284253173,0.8397967152101593,0.0,0.0,0.0,0.8911077618688772,1.0,0.9424188085275952,0.0,0.0,0.0,0,2419,0.0,0.0,0.0
TFIDF + Logistic Regression [VAL],0.9212509419743783,0.7342621131353241,0.9190812285980536,0.8709677419354839,0.5,0.6352941176470588,0.9491666666666667,0.9632135306553912,0.9561385099685205,0.6278026905829597,0.5957446808510638,0.611353711790393,83,2419,0.03431169904919388,0.0,0.03509513742071882
TFIDF + Logistic Regression [TEST],0.9110776186887717,0.6903092235158965,0.9074980956677375,0.9565217391304348,0.4074074074074074,0.5714285714285714,0.9411764705882353,0.960676532769556,0.9508265327474367,0.5714285714285714,0.5276595744680851,0.5486725663716814,93,2419,0.03844563869367507,0.018518518518518517,0.03890063424947146
TFIDF + Logistic Regression Balanced [VAL],0.9039186134137152,0.7550493881763232,0.9145640487583602,0.5232558139534884,0.8333333333333334,0.6428571428571429,0.989800649049606,0.9027484143763214,0.9442724458204335,0.5328467153284672,0.9319148936170213,0.6780185758513931,192,2419,0.07937164117403886,0.0,0.08118393234672304
TFIDF + Logistic Regression Balanced [TEST],0.9012810851544838,0.7237200195790504,0.9120699091610259,0.4375,0.7777777777777778,0.56,0.9857471264367816,0.906553911205074,0.9444933920704845,0.5378590078328982,0.8765957446808511,0.6666666666666666,177,2419,0.07317073170731707,0.018518518518518517,0.07441860465116279
TFIDF + LinearSVC Balanced [VAL],0.9250188394875659,0.7924794110411257,0.929614455070249,0.7450980392156863,0.7037037037037037,0.7238095238095238,0.977112676056338,0.9386892177589852,0.9575156351089066,0.595166163141994,0.8382978723404255,0.696113074204947,134,2419,0.05539479123604795,0.0,0.056659619450317125
TFIDF + LinearSVC Balanced [TEST],0.9186134137151469,0.7401384824941983,0.9221148558455103,0.6521739130434783,0.5555555555555556,0.6,0.9686820356676816,0.9416490486257928,0.9549742710120068,0.5857605177993528,0.7702127659574468,0.6654411764705882,128,2419,0.05291442744935924,0.018518518518518517,0.05369978858350952
