paper_model_name,model,threshold,accuracy,macro_f1,weighted_f1,avoid_precision,avoid_recall,avoid_f1,caution_precision,caution_recall,caution_f1,no_known_precision,no_known_recall,no_known_f1,false_safe_count,risky_true_count,false_safe_rate,avoid_false_safe_rate,caution_false_safe_rate
Majority baseline,Majority baseline [TEST],,0.8911077618688772,0.3141396028425317,0.8397967152101593,0.0,0.0,0.0,0.8911077618688772,1.0,0.9424188085275952,0.0,0.0,0.0,0,2419,0.0,0.0,0.0
Balanced AI baseline,TFIDF + LinearSVC Balanced [TEST],,0.9186134137151468,0.7401384824941983,0.9221148558455105,0.6521739130434783,0.5555555555555556,0.6,0.9686820356676816,0.9416490486257928,0.9549742710120068,0.5857605177993528,0.7702127659574468,0.6654411764705882,128,2419,0.0529144274493592,0.0185185185185185,0.0536997885835095
Calibrated balanced mode,Calibrated TFIDF + LinearSVC Balanced Original [TEST],,0.915222305953278,0.7172628336351687,0.913429007290375,0.8666666666666667,0.4814814814814814,0.6190476190476191,0.9477643125783536,0.958985200845666,0.953341740226986,0.5844155844155844,0.574468085106383,0.5793991416309013,96,2419,0.0396858205870194,0.0185185185185185,0.040169133192389
MedSafe-GATE v1 balanced-safety mode,Calibrated LinearSVC SafetyGate threshold=0.6 [TEST],0.6,0.9167294649585532,0.6859962203285873,0.9065105404378136,0.8666666666666667,0.4814814814814814,0.6190476190476191,0.9316445516686772,0.9797040169133192,0.9550700741962076,0.656934306569343,0.3829787234042553,0.4838709677419355,47,2419,0.0194295163290615,0.0185185185185185,0.0194503171247357
MedSafe-GATE v1 strict-screening mode,Calibrated LinearSVC SafetyGate threshold=0.7 [TEST],0.7,0.9099472494348154,0.6156927712915021,0.885506766314095,0.8666666666666667,0.4814814814814814,0.6190476190476191,0.9143635655897236,0.9932346723044396,0.95216862586137,0.7272727272727273,0.1702127659574468,0.2758620689655172,15,2419,0.0062009094667217,0.0185185185185185,0.0059196617336152
